"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000008565.1","GCA_001638825.1","GCA_008329785.1","GCA_011604805.1","GCA_011604825.1","GCA_020546685.1","GCA_021378295.1","GCA_024138735.1"
"DR_0324","","methenyltetrahydrofolate cyclohydrolase","8","8","1","1","1866","1","1137","","524","644","629","DR_0324.p01","A2G07_11915.p01","a6679ee1dd99a76d4f263da36fcf6004_8731","689a1f7569cd370648666ad3906989ad_3497","e7eb4eb1fba968f75f75040ad2de8570_9325","5974397fafb4265a64d121638449c96c_1313","DRO_0321.p01","5b1dec001b64d68f08bc514628990a75_6332"
"DRO_0325","","gamma-glutamylcyclotransferase","8","8","1","1","1870","1","1141","","422","524","460","DR_0328.p01","A2G07_11895.p01","a6679ee1dd99a76d4f263da36fcf6004_8746","689a1f7569cd370648666ad3906989ad_3513","e7eb4eb1fba968f75f75040ad2de8570_9309","5974397fafb4265a64d121638449c96c_1329","DRO_0325.p01","5b1dec001b64d68f08bc514628990a75_6348"
"HAV23_04545","","menaquinone biosynthesis decarboxylase","8","8","1","1","1874","1","1145","","1871","1937","1904","DR_0332.p01","A2G07_11875.p01","a6679ee1dd99a76d4f263da36fcf6004_8762","689a1f7569cd370648666ad3906989ad_3527","e7eb4eb1fba968f75f75040ad2de8570_9297","5974397fafb4265a64d121638449c96c_1345","DRO_0330.p01","5b1dec001b64d68f08bc514628990a75_6368"
"A2G07_11865","","triacylglycerol lipase","8","8","1","1","1876","1","1147","","1412","1460","1430","DR_0334.p01","A2G07_11865.p01","a6679ee1dd99a76d4f263da36fcf6004_8770","689a1f7569cd370648666ad3906989ad_3535","e7eb4eb1fba968f75f75040ad2de8570_9289","5974397fafb4265a64d121638449c96c_1352","DRO_0333.p01","5b1dec001b64d68f08bc514628990a75_6376"
"DRO_0335","","fatty-acid--CoA ligase","8","8","1","1","1878","1","1149","","1346","1574","1542","DR_0336.p01","A2G07_11855.p01","a6679ee1dd99a76d4f263da36fcf6004_8778","689a1f7569cd370648666ad3906989ad_3541","e7eb4eb1fba968f75f75040ad2de8570_9283","5974397fafb4265a64d121638449c96c_1360","DRO_0335.p01","5b1dec001b64d68f08bc514628990a75_6386"
"HAV23_04610","","cytochrome c-type biogenesis protein CcmH","8","8","1","1","1886","1","1157","","584","599","593","DR_0344.p01","A2G07_11810.p01","a6679ee1dd99a76d4f263da36fcf6004_8813","689a1f7569cd370648666ad3906989ad_3576","e7eb4eb1fba968f75f75040ad2de8570_9249","5974397fafb4265a64d121638449c96c_1395","DRO_0343.p01","5b1dec001b64d68f08bc514628990a75_6423"
"DR_0345","","redoxin domain-containing protein","8","8","1","1","1887","1","1158","","479","566","555","DR_0345.p01","A2G07_11805.p01","a6679ee1dd99a76d4f263da36fcf6004_8817","689a1f7569cd370648666ad3906989ad_3580","e7eb4eb1fba968f75f75040ad2de8570_9245","5974397fafb4265a64d121638449c96c_1399","DRO_0344.p01","5b1dec001b64d68f08bc514628990a75_6427"
"xth","","exodeoxyribonuclease III","8","8","1","1","1895","1","1166","","785","851","809","DR_0354.p01","A2G07_11765.p01","a6679ee1dd99a76d4f263da36fcf6004_8853","689a1f7569cd370648666ad3906989ad_3610","e7eb4eb1fba968f75f75040ad2de8570_9213","5974397fafb4265a64d121638449c96c_1434","DRO_0353.p01","5b1dec001b64d68f08bc514628990a75_6467"
"MSS93_08980","","YqgE/AlgH family protein","8","8","1","1","1898","1","1169","","527","575","545","DR_0357.p01","A2G07_11750.p01","a6679ee1dd99a76d4f263da36fcf6004_8865","689a1f7569cd370648666ad3906989ad_3622","e7eb4eb1fba968f75f75040ad2de8570_9201","5974397fafb4265a64d121638449c96c_1446","DRO_0356.p01","5b1dec001b64d68f08bc514628990a75_6479"
"HAV23_04675","","folate-binding protein YgfZ","8","8","1","1","1899","1","1170","","866","911","882","DR_0358.p01","A2G07_11745.p01","a6679ee1dd99a76d4f263da36fcf6004_8869","689a1f7569cd370648666ad3906989ad_3626","e7eb4eb1fba968f75f75040ad2de8570_9198","5974397fafb4265a64d121638449c96c_1450","DRO_0357.p01","5b1dec001b64d68f08bc514628990a75_6483"
"E5E91_01895","","GNAT family N-acetyltransferase","8","8","1","1","1908","1","1179","","725","800","753","DR_0367.p01","A2G07_11700.p01","a6679ee1dd99a76d4f263da36fcf6004_8903","689a1f7569cd370648666ad3906989ad_3660","e7eb4eb1fba968f75f75040ad2de8570_9164","5974397fafb4265a64d121638449c96c_1484","DRO_0366.p01","5b1dec001b64d68f08bc514628990a75_6525"
"DXG80_11500","","hypothetical protein","8","8","1","1","1910","1","1181","","227","260","255","DR_0369.p01","A2G07_11690.p01","a6679ee1dd99a76d4f263da36fcf6004_8911","689a1f7569cd370648666ad3906989ad_3668","e7eb4eb1fba968f75f75040ad2de8570_9156","5974397fafb4265a64d121638449c96c_1492","DRO_0368.p01","5b1dec001b64d68f08bc514628990a75_6533"
"DR_0374","","PadR family transcriptional regulator","8","8","1","1","1915","1","1186","","302","308","302","DR_0374.p01","A2G07_11665.p01","a6679ee1dd99a76d4f263da36fcf6004_8931","689a1f7569cd370648666ad3906989ad_3688","e7eb4eb1fba968f75f75040ad2de8570_9136","5974397fafb4265a64d121638449c96c_1512","DRO_0373.p01","5b1dec001b64d68f08bc514628990a75_6553"
"sdaAA","","L-serine ammonia-lyase, iron-sulfur-dependent, subunit alpha","8","8","1","1","1917","1","1188","","890","959","915","DR_0377.p01","A2G07_11650.p01","a6679ee1dd99a76d4f263da36fcf6004_8942","689a1f7569cd370648666ad3906989ad_3698","e7eb4eb1fba968f75f75040ad2de8570_9127","5974397fafb4265a64d121638449c96c_1524","DRO_0377.p01","5b1dec001b64d68f08bc514628990a75_6565"
"MSS93_09160","","DUF2262 domain-containing protein","8","8","1","1","1928","1","1199","","458","494","471","DR_0388.p01","A2G07_11595.p01","a6679ee1dd99a76d4f263da36fcf6004_8985","689a1f7569cd370648666ad3906989ad_3740","e7eb4eb1fba968f75f75040ad2de8570_9087","5974397fafb4265a64d121638449c96c_1568","DRO_0388.p01","5b1dec001b64d68f08bc514628990a75_6619"
"DXG80_11625","","phosphotransferase enzyme family protein","8","8","1","1","1934","1","1205","","986","1028","1001","DR_0394.p01","A2G07_11565.p01","a6679ee1dd99a76d4f263da36fcf6004_9009","689a1f7569cd370648666ad3906989ad_3762","e7eb4eb1fba968f75f75040ad2de8570_9067","5974397fafb4265a64d121638449c96c_1592","DRO_0394.p01","5b1dec001b64d68f08bc514628990a75_6639"
"MSS93_09220","","fasciclin domain-containing protein","8","8","1","1","1939","1","1210","","1820","1871","1839","DR_0399.p01","A2G07_11540.p01","a6679ee1dd99a76d4f263da36fcf6004_9029","689a1f7569cd370648666ad3906989ad_3782","e7eb4eb1fba968f75f75040ad2de8570_9049","5974397fafb4265a64d121638449c96c_1612","DRO_0399.p01","5b1dec001b64d68f08bc514628990a75_6661"
"DR_0404","","hypothetical protein","8","8","1","1","1943","1","1214","","293","344","312","DR_0404.p01","A2G07_11520.p01","a6679ee1dd99a76d4f263da36fcf6004_9044","689a1f7569cd370648666ad3906989ad_3798","e7eb4eb1fba968f75f75040ad2de8570_9034","5974397fafb4265a64d121638449c96c_1628","DRO_0403.p01","5b1dec001b64d68f08bc514628990a75_6681"
"MSS93_09305","","hypothetical protein","8","8","1","1","1951","1","1222","","179","230","210","DR_0413.p01","A2G07_11475.p01","a6679ee1dd99a76d4f263da36fcf6004_9080","689a1f7569cd370648666ad3906989ad_3832","e7eb4eb1fba968f75f75040ad2de8570_9001","5974397fafb4265a64d121638449c96c_1664","DRO_0411.p01","5b1dec001b64d68f08bc514628990a75_6719"
"MSS93_09310","","HAD family hydrolase","8","8","1","1","1952","1","1223","","467","629","605","DR_0414.p01","A2G07_11470.p01","a6679ee1dd99a76d4f263da36fcf6004_9084","689a1f7569cd370648666ad3906989ad_3836","e7eb4eb1fba968f75f75040ad2de8570_8997","5974397fafb4265a64d121638449c96c_1668","DRO_0412.p01","5b1dec001b64d68f08bc514628990a75_6723"
"DR_0418","","hypothetical protein","8","8","1","1","1956","1","1227","","224","257","244","DR_0418.p01","A2G07_11450.p01","a6679ee1dd99a76d4f263da36fcf6004_9100","689a1f7569cd370648666ad3906989ad_3850","e7eb4eb1fba968f75f75040ad2de8570_8983","5974397fafb4265a64d121638449c96c_1684","DRO_0416.p01","5b1dec001b64d68f08bc514628990a75_6737"
"MSS93_09345","","hypothetical protein","8","8","1","1","1959","1","1230","","224","308","266","DR_0421.p01","A2G07_11435.p01","a6679ee1dd99a76d4f263da36fcf6004_9112","689a1f7569cd370648666ad3906989ad_3860","e7eb4eb1fba968f75f75040ad2de8570_8973","5974397fafb4265a64d121638449c96c_1696","DRO_0419.p01","5b1dec001b64d68f08bc514628990a75_6747"
"hisB","","imidazoleglycerol-phosphate dehydratase HisB","8","8","1","1","1963","1","1234","","587","734","642","DR_0424.p01","A2G07_11415.p01","a6679ee1dd99a76d4f263da36fcf6004_9128","689a1f7569cd370648666ad3906989ad_3872","e7eb4eb1fba968f75f75040ad2de8570_8959","5974397fafb4265a64d121638449c96c_1712","DRO_0422.p01","5b1dec001b64d68f08bc514628990a75_6763"
"DRO_0425","","50S ribosomal protein L25/general stress protein Ctc","8","8","1","1","1966","1","1237","","713","761","731","DR_0427.p01","A2G07_11400.p01","a6679ee1dd99a76d4f263da36fcf6004_9140","689a1f7569cd370648666ad3906989ad_3884","e7eb4eb1fba968f75f75040ad2de8570_8948","5974397fafb4265a64d121638449c96c_1724","DRO_0425.p01","5b1dec001b64d68f08bc514628990a75_6773"
"MSS93_09385","","MGMT family protein","8","8","1","1","1967","1","1238","","353","419","377","DR_0428.p01","A2G07_11395.p01","a6679ee1dd99a76d4f263da36fcf6004_9144","689a1f7569cd370648666ad3906989ad_3888","e7eb4eb1fba968f75f75040ad2de8570_8944","5974397fafb4265a64d121638449c96c_1728","DRO_0426.p01","5b1dec001b64d68f08bc514628990a75_6777"
"HAV35_11760","","ubiquinol-cytochrome c reductase iron-sulfur subunit","8","8","1","1","1975","1","1246","","506","662","603","DR_0435.p01","A2G07_11355.p01","a6679ee1dd99a76d4f263da36fcf6004_9175","689a1f7569cd370648666ad3906989ad_3918","e7eb4eb1fba968f75f75040ad2de8570_8915","5974397fafb4265a64d121638449c96c_1759","DRO_0434.p01","5b1dec001b64d68f08bc514628990a75_6805"
"HAV23_05090","","PrsW family intramembrane metalloprotease","8","8","1","1","1981","1","1252","","500","710","683","DR_0441.p01","A2G07_11325.p01","a6679ee1dd99a76d4f263da36fcf6004_9199","689a1f7569cd370648666ad3906989ad_3942","e7eb4eb1fba968f75f75040ad2de8570_8892","5974397fafb4265a64d121638449c96c_1783","DRO_0439.p01","5b1dec001b64d68f08bc514628990a75_6829"
"DXG80_11875","","thymidine phosphorylase","8","8","1","1","1983","1","1254","","1325","1436","1366","DR_0443.p01","A2G07_11315.p01","a6679ee1dd99a76d4f263da36fcf6004_9207","689a1f7569cd370648666ad3906989ad_3950","e7eb4eb1fba968f75f75040ad2de8570_8884","5974397fafb4265a64d121638449c96c_1791","DRO_0441.p01","5b1dec001b64d68f08bc514628990a75_6837"
"HAV35_11660","","3'-kinase","8","8","1","1","1995","1","1266","","830","851","848","DR_0455.p01","A2G07_11255.p01","a6679ee1dd99a76d4f263da36fcf6004_9255","689a1f7569cd370648666ad3906989ad_3998","e7eb4eb1fba968f75f75040ad2de8570_8839","5974397fafb4265a64d121638449c96c_1839","DRO_0453.p01","5b1dec001b64d68f08bc514628990a75_6881"
"DRO_0461","","cobalamin-binding protein","8","8","1","1","2004","1","1275","","902","929","912","DR_0462.p01","A2G07_11210.p01","a6679ee1dd99a76d4f263da36fcf6004_9282","689a1f7569cd370648666ad3906989ad_4026","e7eb4eb1fba968f75f75040ad2de8570_8803","5974397fafb4265a64d121638449c96c_1867","DRO_0461.p01","5b1dec001b64d68f08bc514628990a75_6915"
"A2G07_11190","","EAL domain-containing protein","8","8","1","1","2008","1","1279","","2360","2417","2388","DR_0466.p01","A2G07_11190.p01","a6679ee1dd99a76d4f263da36fcf6004_9300","689a1f7569cd370648666ad3906989ad_4041","e7eb4eb1fba968f75f75040ad2de8570_8791","5974397fafb4265a64d121638449c96c_1885","DRO_0465.p01","5b1dec001b64d68f08bc514628990a75_6929"
"HAV35_11575","","histidinol-phosphatase","8","8","1","1","2012","1","1283","","752","782","778","DR_0470.p01","A2G07_11170.p01","a6679ee1dd99a76d4f263da36fcf6004_9316","689a1f7569cd370648666ad3906989ad_4057","e7eb4eb1fba968f75f75040ad2de8570_8777","5974397fafb4265a64d121638449c96c_1901","DRO_0469.p01","5b1dec001b64d68f08bc514628990a75_6945"
"DR_0471","","TIGR00730 family Rossman fold protein","8","8","1","1","2013","1","1284","","728","770","743","DR_0471.p01","A2G07_11165.p01","a6679ee1dd99a76d4f263da36fcf6004_9320","689a1f7569cd370648666ad3906989ad_4061","e7eb4eb1fba968f75f75040ad2de8570_8773","5974397fafb4265a64d121638449c96c_1905","DRO_0470.p01","5b1dec001b64d68f08bc514628990a75_6949"
"ttcA","","tRNA 2-thiocytidine(32) synthetase TtcA","8","8","1","1","2021","1","1292","","827","899","890","DR_0480.p01","A2G07_11120.p01","a6679ee1dd99a76d4f263da36fcf6004_9356","689a1f7569cd370648666ad3906989ad_4095","e7eb4eb1fba968f75f75040ad2de8570_8742","5974397fafb4265a64d121638449c96c_1940","DRO_0479.p01","5b1dec001b64d68f08bc514628990a75_6981"
"E5E91_02485","","hypothetical protein","8","8","1","1","2024","1","1295","","392","461","417","DR_0483.p01","A2G07_11105.p01","a6679ee1dd99a76d4f263da36fcf6004_9368","689a1f7569cd370648666ad3906989ad_4107","e7eb4eb1fba968f75f75040ad2de8570_8730","5974397fafb4265a64d121638449c96c_1952","DRO_0482.p01","5b1dec001b64d68f08bc514628990a75_6993"
"HAV35_11500","","glutamate--tRNA ligase","8","8","1","1","2026","1","1297","","1451","1577","1499","DR_0485.p01","A2G07_11095.p01","a6679ee1dd99a76d4f263da36fcf6004_9376","689a1f7569cd370648666ad3906989ad_4115","e7eb4eb1fba968f75f75040ad2de8570_8722","5974397fafb4265a64d121638449c96c_1960","DRO_0484.p01","5b1dec001b64d68f08bc514628990a75_7001"
"MSS93_09700","","hypothetical protein","8","8","1","1","2027","1","1298","","458","521","489","DR_0486.p01","A2G07_11090.p01","a6679ee1dd99a76d4f263da36fcf6004_9380","689a1f7569cd370648666ad3906989ad_4119","e7eb4eb1fba968f75f75040ad2de8570_8718","5974397fafb4265a64d121638449c96c_1964","DRO_0485.p01","5b1dec001b64d68f08bc514628990a75_7005"
"MSS93_09730","","DNA-formamidopyrimidine glycosylase","8","8","1","1","2033","1","1304","","842","875","854","DR_0493.p01","A2G07_11060.p01","a6679ee1dd99a76d4f263da36fcf6004_9408","689a1f7569cd370648666ad3906989ad_4143","e7eb4eb1fba968f75f75040ad2de8570_8694","5974397fafb4265a64d121638449c96c_1992","DRO_0491.p01","5b1dec001b64d68f08bc514628990a75_7025"
"sdaAB","","L-serine ammonia-lyase, iron-sulfur-dependent, subunit beta","8","8","1","1","2037","1","1308","","665","716","684","DR_0497.p01","A2G07_11040.p01","a6679ee1dd99a76d4f263da36fcf6004_9424","689a1f7569cd370648666ad3906989ad_4159","e7eb4eb1fba968f75f75040ad2de8570_8678","5974397fafb4265a64d121638449c96c_2008","DRO_0495.p01","5b1dec001b64d68f08bc514628990a75_7039"
"HAV23_05375","","tRNA-Met","8","8","1","1","2038","1","1309","","72","75","74","DR_t11.r01","A2G07_11030.r01","a6679ee1dd99a76d4f263da36fcf6004_9430","689a1f7569cd370648666ad3906989ad_4165","e7eb4eb1fba968f75f75040ad2de8570_8671","5974397fafb4265a64d121638449c96c_2014","DRO_tRNA41.r01","5b1dec001b64d68f08bc514628990a75_7045"
"DRO_0501","","hypothetical protein","8","8","1","1","2043","1","1314","","1142","1181","1156","DR_0503.p01","A2G07_11000.p01","a6679ee1dd99a76d4f263da36fcf6004_9456","689a1f7569cd370648666ad3906989ad_4189","e7eb4eb1fba968f75f75040ad2de8570_8650","5974397fafb4265a64d121638449c96c_2040","DRO_0501.p01","5b1dec001b64d68f08bc514628990a75_7077"
"DRO_0506","","restriction endonuclease","8","8","1","1","2048","1","1319","","956","1010","976","DR_0508.p01","A2G07_10975.p01","a6679ee1dd99a76d4f263da36fcf6004_9476","689a1f7569cd370648666ad3906989ad_4209","e7eb4eb1fba968f75f75040ad2de8570_8632","5974397fafb4265a64d121638449c96c_2060","DRO_0506.p01","5b1dec001b64d68f08bc514628990a75_7099"
"HAV23_05505","","hypothetical protein","8","8","1","1","2061","1","1332","","443","503","495","DR_0522.p01","A2G07_10905.p01","a6679ee1dd99a76d4f263da36fcf6004_9535","689a1f7569cd370648666ad3906989ad_4268","e7eb4eb1fba968f75f75040ad2de8570_8575","5974397fafb4265a64d121638449c96c_2119","DRO_0519.p01","5b1dec001b64d68f08bc514628990a75_7168"
"DXG80_12325","","hypothetical protein","8","8","1","1","2067","1","1338","","413","992","919","DR_0528.p01","A2G07_10875.p01","a6679ee1dd99a76d4f263da36fcf6004_9559","689a1f7569cd370648666ad3906989ad_4288","e7eb4eb1fba968f75f75040ad2de8570_8551","5974397fafb4265a64d121638449c96c_2143","DRO_0525.p01","5b1dec001b64d68f08bc514628990a75_7196"
"A2G07_10845","","helix-turn-helix domain-containing protein","8","8","1","1","2073","1","1344","","242","296","289","DR_0532.p01","A2G07_10845.p01","a6679ee1dd99a76d4f263da36fcf6004_9583","689a1f7569cd370648666ad3906989ad_4308","e7eb4eb1fba968f75f75040ad2de8570_8527","5974397fafb4265a64d121638449c96c_2163","DRO_0530.p01","5b1dec001b64d68f08bc514628990a75_7224"
"MSS93_10060","","DUF72 domain-containing protein","8","8","1","1","2082","1","1353","","194","797","720","DR_0541.p01","A2G07_10800.p01","a6679ee1dd99a76d4f263da36fcf6004_9622","689a1f7569cd370648666ad3906989ad_4340","e7eb4eb1fba968f75f75040ad2de8570_8491","5974397fafb4265a64d121638449c96c_2202","DRO_0539.p01","5b1dec001b64d68f08bc514628990a75_7280"
"DXG80_12425","","hypothetical protein","8","8","1","1","2086","1","1357","","275","287","279","DR_0545.p01","A2G07_10780.p01","a6679ee1dd99a76d4f263da36fcf6004_9638","689a1f7569cd370648666ad3906989ad_4356","e7eb4eb1fba968f75f75040ad2de8570_8477","5974397fafb4265a64d121638449c96c_2217","DRO_0543.p01","5b1dec001b64d68f08bc514628990a75_7294"
"DR_0552","","thiamine diphosphokinase","8","8","1","1","2091","1","1362","","539","620","609","DR_0552.p01","A2G07_10750.p01","a6679ee1dd99a76d4f263da36fcf6004_9669","689a1f7569cd370648666ad3906989ad_4382","e7eb4eb1fba968f75f75040ad2de8570_8453","5974397fafb4265a64d121638449c96c_2244","DRO_0549.p01","5b1dec001b64d68f08bc514628990a75_7320"
"hemL","","glutamate-1-semialdehyde 2,1-aminomutase","8","8","1","1","2094","1","1365","","1334","1367","1346","DR_0555.p01","A2G07_10735.p01","a6679ee1dd99a76d4f263da36fcf6004_9681","689a1f7569cd370648666ad3906989ad_4394","e7eb4eb1fba968f75f75040ad2de8570_8441","5974397fafb4265a64d121638449c96c_2256","DRO_0553.p01","5b1dec001b64d68f08bc514628990a75_7334"
"HAV35_11110","","tRNA-Ala","8","8","1","1","2098","1","1369","","71","74","73","DR_t13.r01","A2G07_10715.r01","a6679ee1dd99a76d4f263da36fcf6004_9696","689a1f7569cd370648666ad3906989ad_4409","e7eb4eb1fba968f75f75040ad2de8570_8425","5974397fafb4265a64d121638449c96c_2271","DRO_tRNA6.r01","5b1dec001b64d68f08bc514628990a75_7349"
"MSS93_10175","","DsbA family protein","8","8","1","1","2100","1","1371","","1025","1130","1082","DR_0560.p01","A2G07_10700.p01","a6679ee1dd99a76d4f263da36fcf6004_9707","689a1f7569cd370648666ad3906989ad_4420","e7eb4eb1fba968f75f75040ad2de8570_8415","5974397fafb4265a64d121638449c96c_2282","DRO_0558.p01","5b1dec001b64d68f08bc514628990a75_7358"
"DRO_0567","","adenine phosphoribosyltransferase","8","8","1","1","2108","1","1379","","530","542","534","DR_0568.p01","A2G07_10660.p01","a6679ee1dd99a76d4f263da36fcf6004_9739","689a1f7569cd370648666ad3906989ad_4452","e7eb4eb1fba968f75f75040ad2de8570_8383","5974397fafb4265a64d121638449c96c_2314","DRO_0567.p01","5b1dec001b64d68f08bc514628990a75_7384"
"DR_0571","","FAD-dependent oxidoreductase","8","8","1","1","2112","1","1383","","1124","1193","1184","DR_0571.p01","A2G07_10630.p01","a6679ee1dd99a76d4f263da36fcf6004_9761","689a1f7569cd370648666ad3906989ad_4474","e7eb4eb1fba968f75f75040ad2de8570_8362","5974397fafb4265a64d121638449c96c_2336","DRO_0571.p01","5b1dec001b64d68f08bc514628990a75_7406"
"E5E91_03025","","acetyltransferase","8","8","1","1","2121","1","1392","","767","890","843","DR_0580.p01","A2G07_10585.p01","a6679ee1dd99a76d4f263da36fcf6004_9796","689a1f7569cd370648666ad3906989ad_4508","e7eb4eb1fba968f75f75040ad2de8570_8328","5974397fafb4265a64d121638449c96c_2372","DRO_0580.p01","5b1dec001b64d68f08bc514628990a75_7440"
"E5E91_03050","","aminopeptidase","8","8","1","1","2126","1","1397","","1100","1142","1122","DR_0585.p01","A2G07_10560.p01","a6679ee1dd99a76d4f263da36fcf6004_9816","689a1f7569cd370648666ad3906989ad_4526","e7eb4eb1fba968f75f75040ad2de8570_8308","5974397fafb4265a64d121638449c96c_2392","DRO_0585.p01","5b1dec001b64d68f08bc514628990a75_7458"
"clpS","","ATP-dependent Clp protease adapter ClpS","8","8","1","1","2127","1","1398","","341","419","370","DR_0586.p01","A2G07_10555.p01","a6679ee1dd99a76d4f263da36fcf6004_9819","689a1f7569cd370648666ad3906989ad_4530","e7eb4eb1fba968f75f75040ad2de8570_8304","5974397fafb4265a64d121638449c96c_2396","DRO_0586.p01","5b1dec001b64d68f08bc514628990a75_7462"
"HAV23_05890","","tRNA-Ser","8","8","1","1","2136","1","1407","","86","89","88","DR_t0595.r01","A2G07_10510.r01","a6679ee1dd99a76d4f263da36fcf6004_9853","689a1f7569cd370648666ad3906989ad_4563","e7eb4eb1fba968f75f75040ad2de8570_8268","5974397fafb4265a64d121638449c96c_2431","DRO_tRNA9.r01","5b1dec001b64d68f08bc514628990a75_7497"
"DR_0600","","hypothetical protein","8","8","1","1","2141","1","1412","","239","299","246","DR_0600.p01","A2G07_10485.p01","a6679ee1dd99a76d4f263da36fcf6004_9881","689a1f7569cd370648666ad3906989ad_4583","e7eb4eb1fba968f75f75040ad2de8570_8247","5974397fafb4265a64d121638449c96c_2459","DRO_0600.p01","5b1dec001b64d68f08bc514628990a75_7519"
"DXG80_12770","","diguanylate cyclase","8","8","1","1","2146","1","1417","","605","683","634","DR_0605.p01","A2G07_10460.p01","a6679ee1dd99a76d4f263da36fcf6004_9901","689a1f7569cd370648666ad3906989ad_4603","e7eb4eb1fba968f75f75040ad2de8570_8229","5974397fafb4265a64d121638449c96c_2479","DRO_0605.p01","5b1dec001b64d68f08bc514628990a75_7537"
