"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000024845.1","GCA_000224745.1","GCA_009936255.1","GCA_009936275.1"
"Rhom172_1598","","heavy metal translocating P-type ATPase","4","4","1","1","1489","1","1299","","1931","2099","1973","179fc4b66b5fe7c86a05d012dd5a340c_6520","2124b6b02b7cef79fdc244b38ecf46bc_6602","RmaAA213_16950.p01","RmaAA338_17000.p01"
"RmaAA338_17020","","hypothetical protein","4","4","1","1","1487","1","1297","","3470","3470","3470","179fc4b66b5fe7c86a05d012dd5a340c_6529","2124b6b02b7cef79fdc244b38ecf46bc_5214","RmaAA213_16970.p01","RmaAA338_17020.p01"
"Rmar_1539","","NHL repeat containing protein","4","4","1","1","1485","1","1295","","803","872","854","179fc4b66b5fe7c86a05d012dd5a340c_6537","2124b6b02b7cef79fdc244b38ecf46bc_5206","RmaAA213_16990.p01","RmaAA338_17040.p01"
"paaB","","phenylacetate-CoA oxygenase subunit PaaB","4","4","1","1","1480","1","1290","","293","293","293","179fc4b66b5fe7c86a05d012dd5a340c_6557","2124b6b02b7cef79fdc244b38ecf46bc_5185","RmaAA213_17040.p01","RmaAA338_17090.p01"
"pdxB","","erythronate-4-phosphate dehydrogenase","4","4","1","1","2950","1","2329","","1211","1223","1220","179fc4b66b5fe7c86a05d012dd5a340c_1076","2124b6b02b7cef79fdc244b38ecf46bc_976","RmaAA213_02500.p01","RmaAA338_02380.p01"
"Rhom172_1238","","beta-ketoadipyl CoA thiolase","4","4","1","1","1469","1","1279","","1208","1208","1208","179fc4b66b5fe7c86a05d012dd5a340c_6597","2124b6b02b7cef79fdc244b38ecf46bc_5141","RmaAA213_17150.p01","RmaAA338_17200.p01"
"Rhom172_1237","","phenyl acetic acid degradation protein","4","4","1","1","1468","1","1278","","614","617","615","179fc4b66b5fe7c86a05d012dd5a340c_6601","2124b6b02b7cef79fdc244b38ecf46bc_5137","RmaAA213_17160.p01","RmaAA338_17210.p01"
"RmaAA213_17190","","hypothetical protein","4","4","1","1","1465","1","1275","","419","419","419","179fc4b66b5fe7c86a05d012dd5a340c_6613","2124b6b02b7cef79fdc244b38ecf46bc_5125","RmaAA213_17190.p01","RmaAA338_17240.p01"
"RmaAA213_17250","","cytochrome c oxidase subunit II","4","4","1","1","1459","1","1269","","467","467","467","179fc4b66b5fe7c86a05d012dd5a340c_6643","2124b6b02b7cef79fdc244b38ecf46bc_5096","RmaAA213_17250.p01","RmaAA338_17300.p01"
"Rhom172_1226","","hypothetical protein","4","4","1","1","1458","1","1268","","143","143","143","179fc4b66b5fe7c86a05d012dd5a340c_6647","2124b6b02b7cef79fdc244b38ecf46bc_5091","RmaAA213_17260.p01","RmaAA338_17310.p01"
"hisH","","imidazole glycerol phosphate synthase subunit HisH","4","4","1","1","1452","1","1262","","626","626","626","179fc4b66b5fe7c86a05d012dd5a340c_6667","2124b6b02b7cef79fdc244b38ecf46bc_5063","RmaAA213_17320.p01","RmaAA338_17370.p01"
"RmaAA338_17420","","RNA 2',3'-cyclic phosphodiesterase","4","4","1","1","1447","1","1257","","536","539","538","179fc4b66b5fe7c86a05d012dd5a340c_6687","2124b6b02b7cef79fdc244b38ecf46bc_5047","RmaAA213_17370.p01","RmaAA338_17420.p01"
"RmaAA338_02460","","peptidase M50","4","4","1","1","2942","1","2337","","1193","1193","1193","179fc4b66b5fe7c86a05d012dd5a340c_1108","2124b6b02b7cef79fdc244b38ecf46bc_1008","RmaAA213_02580.p01","RmaAA338_02460.p01"
"Rmar_1586","","hypothetical protein","4","4","1","1","1437","1","1247","","542","542","542","179fc4b66b5fe7c86a05d012dd5a340c_6730","2124b6b02b7cef79fdc244b38ecf46bc_5005","RmaAA213_17470.p01","RmaAA338_17520.p01"
"Rmar_1588","","Sua5/YciO/YrdC/YwlC family protein","4","4","1","1","1435","1","1245","","953","953","953","179fc4b66b5fe7c86a05d012dd5a340c_6738","2124b6b02b7cef79fdc244b38ecf46bc_4997","RmaAA213_17490.p01","RmaAA338_17540.p01"
"Rmar_1596","","arginase","4","4","1","1","1427","1","1237","","950","950","950","179fc4b66b5fe7c86a05d012dd5a340c_6767","2124b6b02b7cef79fdc244b38ecf46bc_4968","RmaAA213_17570.p01","RmaAA338_17620.p01"
"RmaAA213_02610","","hypothetical protein","4","4","1","1","2939","1","2340","","1016","1016","1016","179fc4b66b5fe7c86a05d012dd5a340c_1122","2124b6b02b7cef79fdc244b38ecf46bc_1021","RmaAA213_02610.p01","RmaAA338_02490.p01"
"asg","","isoaspartyl peptidase/L-asparaginase","4","4","1","1","1410","1","1220","","1013","1016","1014","179fc4b66b5fe7c86a05d012dd5a340c_6835","2124b6b02b7cef79fdc244b38ecf46bc_4951","RmaAA213_17740.p01","RmaAA338_17790.p01"
"RmaAA338_17810","","nucleotidyltransferase family protein","4","4","1","1","1408","1","1218","","1910","1910","1910","179fc4b66b5fe7c86a05d012dd5a340c_6847","2124b6b02b7cef79fdc244b38ecf46bc_4938","RmaAA213_17760.p01","RmaAA338_17810.p01"
"Rmar_1620","","PTS sugar transporter subunit IIA","4","4","1","1","1403","1","1213","","503","563","548","179fc4b66b5fe7c86a05d012dd5a340c_6868","2124b6b02b7cef79fdc244b38ecf46bc_4917","RmaAA213_17810.p01","RmaAA338_17860.p01"
"Rmar_0264","","hypothetical protein","4","4","1","1","2936","1","2343","","551","569","564","179fc4b66b5fe7c86a05d012dd5a340c_1135","2124b6b02b7cef79fdc244b38ecf46bc_1034","RmaAA213_02640.p01","RmaAA338_02520.p01"
"Rmar_1645","","hypothetical protein","4","4","1","1","1375","1","1185","","497","497","497","179fc4b66b5fe7c86a05d012dd5a340c_6971","2124b6b02b7cef79fdc244b38ecf46bc_4750","RmaAA213_18090.p01","RmaAA338_18140.p01"
"Rmar_1646","","DNA polymerase beta domain protein region","4","4","1","1","1374","1","1184","","341","386","363","179fc4b66b5fe7c86a05d012dd5a340c_6975","2124b6b02b7cef79fdc244b38ecf46bc_4746","RmaAA213_18100.p01","RmaAA338_18150.p01"
"RmaAA338_18180","","amino acid transporter","4","4","1","1","1371","1","1181","","1727","1727","1727","179fc4b66b5fe7c86a05d012dd5a340c_6988","2124b6b02b7cef79fdc244b38ecf46bc_4734","RmaAA213_18130.p01","RmaAA338_18180.p01"
"Rmar_1654","","protein of unknown function DUF99","4","4","1","1","1363","1","1173","","563","563","563","179fc4b66b5fe7c86a05d012dd5a340c_7008","2124b6b02b7cef79fdc244b38ecf46bc_4714","RmaAA213_18210.p01","RmaAA338_18260.p01"
"Rmar_1656","","aspartate kinase","4","4","1","1","1361","1","1171","","2636","2636","2636","179fc4b66b5fe7c86a05d012dd5a340c_7016","2124b6b02b7cef79fdc244b38ecf46bc_4706","RmaAA213_18230.p01","RmaAA338_18280.p01"
"ppc","","Phosphoenolpyruvate carboxylase","4","4","1","1","1356","1","1166","","2816","2816","2816","179fc4b66b5fe7c86a05d012dd5a340c_7036","2124b6b02b7cef79fdc244b38ecf46bc_4686","RmaAA213_18280.p01","RmaAA338_18330.p01"
"RmaAA213_18350","","siroheme synthase","4","4","1","1","1349","1","1159","","743","743","743","179fc4b66b5fe7c86a05d012dd5a340c_7069","2124b6b02b7cef79fdc244b38ecf46bc_4653","RmaAA213_18350.p01","RmaAA338_18400.p01"
"RmaAA338_18480","","Mov34/MPN/PAD-1 family protein","4","4","1","1","1340","1","1150","","446","446","446","179fc4b66b5fe7c86a05d012dd5a340c_7105","2124b6b02b7cef79fdc244b38ecf46bc_4617","RmaAA213_18440.p01","RmaAA338_18480.p01"
"RmaAA338_02540","","UPF0721 transmembrane protein","4","4","1","1","2934","1","2345","","797","833","815","179fc4b66b5fe7c86a05d012dd5a340c_1144","2124b6b02b7cef79fdc244b38ecf46bc_1043","RmaAA213_02660.p01","RmaAA338_02540.p01"
"RmaAA338_18540","","glycogen synthase","4","4","1","1","1334","1","1144","","764","776","773","179fc4b66b5fe7c86a05d012dd5a340c_7129","2124b6b02b7cef79fdc244b38ecf46bc_4593","RmaAA213_18500.p01","RmaAA338_18540.p01"
"Rhom172_1099","","hypothetical protein","4","4","1","1","1331","1","1141","","1385","1385","1385","179fc4b66b5fe7c86a05d012dd5a340c_7144","2124b6b02b7cef79fdc244b38ecf46bc_4580","RmaAA213_18530.p01","RmaAA338_18570.p01"
"RmaAA213_18570","","hypothetical protein","4","4","1","1","1327","1","1137","","2612","2612","2612","179fc4b66b5fe7c86a05d012dd5a340c_7162","2124b6b02b7cef79fdc244b38ecf46bc_4562","RmaAA213_18570.p01","RmaAA338_18610.p01"
"RmaAA213_18590","","N-acetyltransferase","4","4","1","1","1325","1","1135","","419","419","419","179fc4b66b5fe7c86a05d012dd5a340c_7170","2124b6b02b7cef79fdc244b38ecf46bc_4554","RmaAA213_18590.p01","RmaAA338_18630.p01"
"Rhom172_1091","","permease","4","4","1","1","1323","1","1133","","1085","1085","1085","179fc4b66b5fe7c86a05d012dd5a340c_7178","2124b6b02b7cef79fdc244b38ecf46bc_4546","RmaAA213_18610.p01","RmaAA338_18650.p01"
"topA","","DNA topoisomerase 1","4","4","1","1","1314","1","1124","","2576","2576","2576","179fc4b66b5fe7c86a05d012dd5a340c_7215","2124b6b02b7cef79fdc244b38ecf46bc_4510","RmaAA213_18700.p01","RmaAA338_18740.p01"
"thiE","","thiamine-phosphate synthase","4","4","1","1","1304","1","1114","","662","662","662","179fc4b66b5fe7c86a05d012dd5a340c_7248","2124b6b02b7cef79fdc244b38ecf46bc_4473","RmaAA213_18800.p01","RmaAA338_18840.p01"
"Rhom172_0251","","protein of unknown function DUF395 YeeE/YedE","4","4","1","1","2932","1","2347","","518","518","518","179fc4b66b5fe7c86a05d012dd5a340c_1152","2124b6b02b7cef79fdc244b38ecf46bc_1051","RmaAA213_02680.p01","RmaAA338_02560.p01"
"RmaAA338_18900","","biopolymer transporter ExbD","4","4","1","1","1298","1","1108","","458","458","458","179fc4b66b5fe7c86a05d012dd5a340c_7271","2124b6b02b7cef79fdc244b38ecf46bc_4448","RmaAA213_18860.p01","RmaAA338_18900.p01"
"Rmar_1719","","Biopolymer transport protein ExbD/TolR","4","4","1","1","1297","1","1107","","554","554","554","179fc4b66b5fe7c86a05d012dd5a340c_7275","2124b6b02b7cef79fdc244b38ecf46bc_4444","RmaAA213_18870.p01","RmaAA338_18910.p01"
"Rhom172_1702","","peptidase S9","4","4","1","1","1286","1","1096","","2948","2948","2948","179fc4b66b5fe7c86a05d012dd5a340c_7320","2124b6b02b7cef79fdc244b38ecf46bc_7030","RmaAA213_18980.p01","RmaAA338_19020.p01"
"RmaAA338_19160","","nucleoside:H symporter","4","4","1","1","1272","1","1082","","1223","1265","1244","179fc4b66b5fe7c86a05d012dd5a340c_7382","2124b6b02b7cef79fdc244b38ecf46bc_7086","RmaAA213_19120.p01","RmaAA338_19160.p01"
"RmaAA213_02700","","transcriptional regulator","4","4","1","1","2930","1","2349","","308","308","308","179fc4b66b5fe7c86a05d012dd5a340c_1160","2124b6b02b7cef79fdc244b38ecf46bc_1059","RmaAA213_02700.p01","RmaAA338_02580.p01"
"RmaAA338_19370","","hypothetical protein","4","4","1","1","1252","1","1062","","2549","2606","2577","179fc4b66b5fe7c86a05d012dd5a340c_7475","2124b6b02b7cef79fdc244b38ecf46bc_7105","RmaAA213_19320.p01","RmaAA338_19370.p01"
"RmaAA338_19500","","hypothetical protein","4","4","1","1","1239","1","1049","","1604","1667","1635","179fc4b66b5fe7c86a05d012dd5a340c_7521","2124b6b02b7cef79fdc244b38ecf46bc_7148","RmaAA213_19450.p01","RmaAA338_19500.p01"
"Rhom172_1736","","multidrug ABC transporter ATP-binding protein","4","4","1","1","1234","1","1044","","938","938","938","179fc4b66b5fe7c86a05d012dd5a340c_7543","2124b6b02b7cef79fdc244b38ecf46bc_7170","RmaAA213_19500.p01","RmaAA338_19550.p01"
"RmaAA338_19580","","hypothetical protein","4","4","1","1","1231","1","1041","","809","809","809","179fc4b66b5fe7c86a05d012dd5a340c_7555","2124b6b02b7cef79fdc244b38ecf46bc_7182","RmaAA213_19530.p01","RmaAA338_19580.p01"
"pgm","","phosphomannomutase","4","4","1","1","1229","1","1039","","1376","1376","1376","179fc4b66b5fe7c86a05d012dd5a340c_7563","2124b6b02b7cef79fdc244b38ecf46bc_7190","RmaAA213_19550.p01","RmaAA338_19600.p01"
"Rmar_1789","","transport permease protein","4","4","1","1","1225","1","1035","","785","785","785","179fc4b66b5fe7c86a05d012dd5a340c_7579","2124b6b02b7cef79fdc244b38ecf46bc_7206","RmaAA213_19590.p01","RmaAA338_19640.p01"
"comB","","putative 2-phosphosulfolactate phosphatase","4","4","1","1","1209","1","1019","","749","749","749","179fc4b66b5fe7c86a05d012dd5a340c_7646","2124b6b02b7cef79fdc244b38ecf46bc_7271","RmaAA213_19750.p01","RmaAA338_19800.p01"
"Rmar_1807","","restriction endonuclease subunit R","4","4","1","1","1207","1","1017","","467","467","467","179fc4b66b5fe7c86a05d012dd5a340c_7654","2124b6b02b7cef79fdc244b38ecf46bc_7279","RmaAA213_19770.p01","RmaAA338_19820.p01"
"RmaAA338_02590","","hypothetical protein","4","4","1","1","2929","1","2350","","2522","2543","2531","179fc4b66b5fe7c86a05d012dd5a340c_1165","2124b6b02b7cef79fdc244b38ecf46bc_1064","RmaAA213_02710.p01","RmaAA338_02590.p01"
"RmaAA338_19840","","short-chain dehydrogenase/reductase SDR","4","4","1","1","1205","1","1015","","791","791","791","179fc4b66b5fe7c86a05d012dd5a340c_7663","2124b6b02b7cef79fdc244b38ecf46bc_7287","RmaAA213_19790.p01","RmaAA338_19840.p01"
"malP","","alpha-glucan phosphorylase","4","4","1","1","1204","1","1014","","2078","2084","2079","179fc4b66b5fe7c86a05d012dd5a340c_7667","2124b6b02b7cef79fdc244b38ecf46bc_7291","RmaAA213_19800.p01","RmaAA338_19850.p01"
"acyP","","acylphosphatase","4","4","1","1","1202","1","1012","","293","293","293","179fc4b66b5fe7c86a05d012dd5a340c_7676","2124b6b02b7cef79fdc244b38ecf46bc_7300","RmaAA213_19820.p01","RmaAA338_19870.p01"
"RmaAA213_19830","","alpha-amylase","4","4","1","1","1201","1","1011","","1379","1379","1379","179fc4b66b5fe7c86a05d012dd5a340c_7680","2124b6b02b7cef79fdc244b38ecf46bc_7304","RmaAA213_19830.p01","RmaAA338_19880.p01"
"phoU","","phosphate transport system regulatory protein PhoU","4","4","1","1","1189","1","999","","698","719","703","179fc4b66b5fe7c86a05d012dd5a340c_7729","2124b6b02b7cef79fdc244b38ecf46bc_7353","RmaAA213_19950.p01","RmaAA338_20000.p01"
"pstS","","phosphate ABC transporter substrate-binding protein","4","4","1","1","1185","1","995","","1016","1037","1031","179fc4b66b5fe7c86a05d012dd5a340c_7745","2124b6b02b7cef79fdc244b38ecf46bc_7370","RmaAA213_19990.p01","RmaAA338_20040.p01"
"RmaAA213_20000","","peptidase","4","4","1","1","1184","1","994","","1991","1991","1991","179fc4b66b5fe7c86a05d012dd5a340c_7750","2124b6b02b7cef79fdc244b38ecf46bc_7374","RmaAA213_20000.p01","RmaAA338_20050.p01"
"RmaAA338_20070","","hypothetical protein","4","4","1","1","1182","1","992","","518","518","518","179fc4b66b5fe7c86a05d012dd5a340c_7758","2124b6b02b7cef79fdc244b38ecf46bc_7382","RmaAA213_20020.p01","RmaAA338_20070.p01"
"apbE","","FAD:protein FMN transferase","4","4","1","1","1179","1","989","","932","974","963","179fc4b66b5fe7c86a05d012dd5a340c_7772","2124b6b02b7cef79fdc244b38ecf46bc_7397","RmaAA213_20050.p01","RmaAA338_20100.p01"
"sbcD","","nuclease SbcCD subunit D","4","4","1","1","2927","1","2352","","1238","1238","1238","179fc4b66b5fe7c86a05d012dd5a340c_1174","2124b6b02b7cef79fdc244b38ecf46bc_1068","RmaAA213_02730.p01","RmaAA338_02610.p01"
"Rhom172_1796","","Nif3-like dinuclear metal center hexameric protein","4","4","1","1","1173","1","983","","1136","1145","1138","179fc4b66b5fe7c86a05d012dd5a340c_7800","2124b6b02b7cef79fdc244b38ecf46bc_7425","RmaAA213_20110.p01","RmaAA338_20160.p01"
"vapC2","","ribonuclease VapC2","4","4","1","1","1167","1","977","","374","389","381","179fc4b66b5fe7c86a05d012dd5a340c_7833","2124b6b02b7cef79fdc244b38ecf46bc_7454","RmaAA213_20170.p01","RmaAA338_20230.p01"
"RmaAA213_20250","","protein of unknown function DUF255","4","4","1","1","1159","1","969","","518","518","518","179fc4b66b5fe7c86a05d012dd5a340c_7865","2124b6b02b7cef79fdc244b38ecf46bc_7488","RmaAA213_20250.p01","RmaAA338_20310.p01"
"RmaAA213_20280","","hypothetical protein","4","4","1","1","1156","1","966","","956","2372","1664","179fc4b66b5fe7c86a05d012dd5a340c_7877","2124b6b02b7cef79fdc244b38ecf46bc_7500","RmaAA213_20280.p01","RmaAA338_20340.p01"
"RmaAA338_20400","","hypothetical protein","4","4","1","1","1150","1","960","","1427","1427","1427","179fc4b66b5fe7c86a05d012dd5a340c_7905","2124b6b02b7cef79fdc244b38ecf46bc_4171","RmaAA213_20340.p01","RmaAA338_20400.p01"
"purN","","phosphoribosylglycinamide formyltransferase","4","4","1","1","1142","1","952","","668","668","668","179fc4b66b5fe7c86a05d012dd5a340c_7939","2124b6b02b7cef79fdc244b38ecf46bc_4132","RmaAA213_20420.p01","RmaAA338_20480.p01"
"Rhom172_0990","","rod shape-determining protein MreC","4","4","1","1","1139","1","949","","824","824","824","179fc4b66b5fe7c86a05d012dd5a340c_7951","2124b6b02b7cef79fdc244b38ecf46bc_4120","RmaAA213_20450.p01","RmaAA338_20510.p01"
"hslU","","ATP-dependent protease ATPase subunit HslU","4","4","1","1","1135","1","945","","1403","1439","1430","179fc4b66b5fe7c86a05d012dd5a340c_7968","2124b6b02b7cef79fdc244b38ecf46bc_4103","RmaAA213_20490.p01","RmaAA338_20550.p01"
"Rmar_0282","","hypothetical protein","4","4","1","1","2918","1","2361","","3788","3797","3794","179fc4b66b5fe7c86a05d012dd5a340c_1212","2124b6b02b7cef79fdc244b38ecf46bc_1106","RmaAA213_02820.p01","RmaAA338_02700.p01"
"RmaAA338_20590","","Cupin 2 conserved barrel domain protein","4","4","1","1","1131","1","941","","473","473","473","179fc4b66b5fe7c86a05d012dd5a340c_7984","2124b6b02b7cef79fdc244b38ecf46bc_4087","RmaAA213_20530.p01","RmaAA338_20590.p01"
"Rmar_1887","","protein of unknown function DUF433","4","4","1","1","1127","1","937","","251","251","251","179fc4b66b5fe7c86a05d012dd5a340c_8001","2124b6b02b7cef79fdc244b38ecf46bc_4070","RmaAA213_20570.p01","RmaAA338_20630.p01"
"Rmar_1889","","hypothetical protein","4","4","1","1","1126","1","936","","425","431","426","179fc4b66b5fe7c86a05d012dd5a340c_8009","2124b6b02b7cef79fdc244b38ecf46bc_4062","RmaAA213_20580.p01","RmaAA338_20640.p01"
"hemC","","porphobilinogen deaminase","4","4","1","1","1124","1","934","","938","938","938","179fc4b66b5fe7c86a05d012dd5a340c_8017","2124b6b02b7cef79fdc244b38ecf46bc_4054","RmaAA213_20600.p01","RmaAA338_20660.p01"
"RmaAA338_20690","","ribulose-bisphosphate carboxylase","4","4","1","1","1121","1","931","","1133","1133","1133","179fc4b66b5fe7c86a05d012dd5a340c_8029","2124b6b02b7cef79fdc244b38ecf46bc_4042","RmaAA213_20630.p01","RmaAA338_20690.p01"
"pepF","","oligoendopeptidase F","4","4","1","1","1119","1","929","","1805","1805","1805","179fc4b66b5fe7c86a05d012dd5a340c_8038","2124b6b02b7cef79fdc244b38ecf46bc_4033","RmaAA213_20650.p01","RmaAA338_20710.p01"
"Rhom172_0960","","alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen","4","4","1","1","1110","1","920","","581","581","581","179fc4b66b5fe7c86a05d012dd5a340c_8075","2124b6b02b7cef79fdc244b38ecf46bc_3996","RmaAA213_20740.p01","RmaAA338_20800.p01"
"RmaAA338_02860","","NADP oxidoreductase","4","4","1","1","2902","1","2377","","920","920","920","179fc4b66b5fe7c86a05d012dd5a340c_1277","2124b6b02b7cef79fdc244b38ecf46bc_1170","RmaAA213_02980.p01","RmaAA338_02860.p01"
"Rhom172_0958","","peptidase M14 carboxypeptidase A","4","4","1","1","1108","1","918","","1580","1586","1583","179fc4b66b5fe7c86a05d012dd5a340c_8085","2124b6b02b7cef79fdc244b38ecf46bc_3986","RmaAA213_20760.p01","RmaAA338_20820.p01"
"RmaAA213_20800","","sodium:solute symporter","4","4","1","1","1104","1","914","","1382","1382","1382","179fc4b66b5fe7c86a05d012dd5a340c_8101","2124b6b02b7cef79fdc244b38ecf46bc_3969","RmaAA213_20800.p01","RmaAA338_20860.p01"
"RmaAA213_20830","","hypothetical protein","4","4","1","1","1101","1","911","","878","878","878","179fc4b66b5fe7c86a05d012dd5a340c_8114","2124b6b02b7cef79fdc244b38ecf46bc_3957","RmaAA213_20830.p01","RmaAA338_20890.p01"
"RmaAA338_20910","","hypothetical protein","4","4","1","1","1099","1","909","","641","647","644","179fc4b66b5fe7c86a05d012dd5a340c_8122","2124b6b02b7cef79fdc244b38ecf46bc_3948","RmaAA213_20850.p01","RmaAA338_20910.p01"
"dnaE","","DNA polymerase III, alpha subunit","4","4","1","1","1098","1","908","","3557","4823","3873","179fc4b66b5fe7c86a05d012dd5a340c_8126","2124b6b02b7cef79fdc244b38ecf46bc_3944","RmaAA213_20860.p01","RmaAA338_20920.p01"
"groS_1","","10 kDa chaperonin","4","4","1","1","1096","1","906","","302","317","313","179fc4b66b5fe7c86a05d012dd5a340c_8134","2124b6b02b7cef79fdc244b38ecf46bc_3936","RmaAA213_20880.p01","RmaAA338_20940.p01"
"RmaAA338_20960","","hypothetical protein","4","4","1","1","1094","1","904","","494","494","494","179fc4b66b5fe7c86a05d012dd5a340c_8143","2124b6b02b7cef79fdc244b38ecf46bc_3928","RmaAA213_20900.p01","RmaAA338_20960.p01"
"RmaAA213_20970","","hypothetical protein","4","4","1","1","1087","1","897","","353","353","353","179fc4b66b5fe7c86a05d012dd5a340c_8172","2124b6b02b7cef79fdc244b38ecf46bc_3900","RmaAA213_20970.p01","RmaAA338_21030.p01"
"Rmar_R0036","","tRNA-His","4","4","1","1","1086","1","896","","73","75","74","179fc4b66b5fe7c86a05d012dd5a340c_8178","2124b6b02b7cef79fdc244b38ecf46bc_3892","RmaAA213_t00310.r01","RmaAA338_t00320.r01"
"atpH","","ATP synthase subunit delta","4","4","1","1","2886","1","2393","","578","578","578","179fc4b66b5fe7c86a05d012dd5a340c_1345","2124b6b02b7cef79fdc244b38ecf46bc_1236","RmaAA213_03140.p01","RmaAA338_03020.p01"
