"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000145615.1","GCA_000189775.3","GCA_000307585.2","GCA_000328545.1","GCA_002250075.1"
"Thexy_2112","","tRNA/rRNA methyltransferase (SpoU)","5","5","1","1","1532","1","289","","470","470","470","ad4372dd6c0e02f4056d5abcc058849f_9703","af9d275dc4cc622cb84d6cc9ce503ea4_8678","Tsac_0237.p01","5840733bfae2da7714a13ada5e214277_9939","Thert_01011.p01"
"Tsac_0277","","xylose isomerase","5","5","1","1","1497","1","254","","1319","1319","1319","ad4372dd6c0e02f4056d5abcc058849f_9904","af9d275dc4cc622cb84d6cc9ce503ea4_8823","Tsac_0277.p01","5840733bfae2da7714a13ada5e214277_10108","Thert_01052.p01"
"Thethe_02547","","exopolysaccharide biosynthesis protein","5","5","1","1","1492","1","249","","953","971","960","ad4372dd6c0e02f4056d5abcc058849f_9932","af9d275dc4cc622cb84d6cc9ce503ea4_8843","Tsac_0284.p01","5840733bfae2da7714a13ada5e214277_10144","Thert_01063.p01"
"Thethe_02560","","flagellar basal-body rod protein FlgG","5","5","1","1","1476","1","233","","800","800","800","ad4372dd6c0e02f4056d5abcc058849f_9968","af9d275dc4cc622cb84d6cc9ce503ea4_8908","Tsac_0295.p01","5840733bfae2da7714a13ada5e214277_10197","Thert_01076.p01"
"Thethe_02581","","uracil phosphoribosyltransferase","5","5","1","1","1455","1","212","","632","632","632","ad4372dd6c0e02f4056d5abcc058849f_10053","af9d275dc4cc622cb84d6cc9ce503ea4_8994","Tsac_0316.p01","5840733bfae2da7714a13ada5e214277_10288","Thert_01110.p01"
"Tthe_2646","","iron-containing alcohol dehydrogenase","5","5","1","1","1337","1","94","","2579","2579","2579","ad4372dd6c0e02f4056d5abcc058849f_10515","af9d275dc4cc622cb84d6cc9ce503ea4_9484","Tsac_0416.p01","5840733bfae2da7714a13ada5e214277_10727","Thert_01238.p01"
"Thexy_2317","","hydroxylamine reductase","5","5","1","1","1336","1","93","","1640","1640","1640","ad4372dd6c0e02f4056d5abcc058849f_10519","af9d275dc4cc622cb84d6cc9ce503ea4_9488","Tsac_0418.p01","5840733bfae2da7714a13ada5e214277_10735","Thert_01239.p01"
"Tthe_0970","","hypothetical protein","5","5","1","1","1879","1","636","","143","506","359","ad4372dd6c0e02f4056d5abcc058849f_3829","af9d275dc4cc622cb84d6cc9ce503ea4_7247","Tsac_1439.p01","5840733bfae2da7714a13ada5e214277_3642","Thert_02755.p01"
"Thexy_2336","","two component transcriptional regulator, winged helix family","5","5","1","1","1318","1","75","","695","698","696","ad4372dd6c0e02f4056d5abcc058849f_10679","af9d275dc4cc622cb84d6cc9ce503ea4_9564","Tsac_0443.p01","5840733bfae2da7714a13ada5e214277_10853","Thert_01274.p01"
"Thethe_02735","","tRNA-Thr","5","5","1","1","1285","1","42","","72","75","74","ad4372dd6c0e02f4056d5abcc058849f_10777","af9d275dc4cc622cb84d6cc9ce503ea4_9705","Tsac_R0054.r01","5840733bfae2da7714a13ada5e214277_10913","Thert_r042.r01"
"Thert_01343","","replicative DNA helicase","5","5","1","1","1273","1","30","","1328","1328","1328","ad4372dd6c0e02f4056d5abcc058849f_10833","af9d275dc4cc622cb84d6cc9ce503ea4_9754","Tsac_0523.p01","5840733bfae2da7714a13ada5e214277_10967","Thert_01343.p01"
"Thert_02760","","transcriptional regulator, GntR family","5","5","1","1","1883","1","640","","686","767","718","ad4372dd6c0e02f4056d5abcc058849f_3845","af9d275dc4cc622cb84d6cc9ce503ea4_7229","Tsac_1443.p01","5840733bfae2da7714a13ada5e214277_3658","Thert_02760.p01"
"Thert_01349","","30S ribosomal protein S18","5","5","1","1","1268","1","25","","266","266","266","ad4372dd6c0e02f4056d5abcc058849f_10853","af9d275dc4cc622cb84d6cc9ce503ea4_9774","Tsac_0528.p01","5840733bfae2da7714a13ada5e214277_10988","Thert_01349.p01"
"Thert_01353","","protein of unknown function DUF951","5","5","1","1","1265","1","22","","206","209","207","ad4372dd6c0e02f4056d5abcc058849f_10865","af9d275dc4cc622cb84d6cc9ce503ea4_9786","Tsac_0531.p01","5840733bfae2da7714a13ada5e214277_11000","Thert_01353.p01"
"Thexy_2406","","parB-like partition protein","5","5","1","1","1253","1","10","","803","803","803","ad4372dd6c0e02f4056d5abcc058849f_10913","af9d275dc4cc622cb84d6cc9ce503ea4_9834","Tsac_0543.p01","5840733bfae2da7714a13ada5e214277_11048","Thert_01368.p01"
"Thert_02763","","ABC-type transporter, integral membrane subunit","5","5","1","1","1886","1","643","","872","872","872","ad4372dd6c0e02f4056d5abcc058849f_3857","af9d275dc4cc622cb84d6cc9ce503ea4_7217","Tsac_1446.p01","5840733bfae2da7714a13ada5e214277_3670","Thert_02763.p01"
"Tsac_1474","","phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain I","5","5","1","1","1918","1","675","","1370","1370","1370","ad4372dd6c0e02f4056d5abcc058849f_4003","af9d275dc4cc622cb84d6cc9ce503ea4_7084","Tsac_1474.p01","5840733bfae2da7714a13ada5e214277_3806","Thert_02798.p01"
"Tthe_1221","","hypothetical protein","5","5","1","1","2148","1","905","","245","257","249","ad4372dd6c0e02f4056d5abcc058849f_4827","af9d275dc4cc622cb84d6cc9ce503ea4_6122","Tsac_2021.p01","5840733bfae2da7714a13ada5e214277_4638","Thert_00023.p01"
"Tthe_0419","","NusG antitermination factor","5","5","1","1","319","1","1492","","527","551","537","ad4372dd6c0e02f4056d5abcc058849f_1672","af9d275dc4cc622cb84d6cc9ce503ea4_1337","Tsac_0998.p01","5840733bfae2da7714a13ada5e214277_1485","Thert_01886.p01"
"Thethe_01349","","metal dependent phosphohydrolase","5","5","1","1","2366","1","1123","","1412","1550","1497","ad4372dd6c0e02f4056d5abcc058849f_5475","af9d275dc4cc622cb84d6cc9ce503ea4_5227","Tsac_1853.p01","5840733bfae2da7714a13ada5e214277_5332","Thert_03325.p01"
"Tthe_1577","","NUDIX hydrolase","5","5","1","1","2181","1","938","","428","428","428","ad4372dd6c0e02f4056d5abcc058849f_6249","af9d275dc4cc622cb84d6cc9ce503ea4_5984","Tsac_1671.p01","5840733bfae2da7714a13ada5e214277_6135","Thert_03094.p01"
"Tthe_1789","","hypothetical protein","5","5","1","1","1035","1","2208","","584","668","647","ad4372dd6c0e02f4056d5abcc058849f_7081","af9d275dc4cc622cb84d6cc9ce503ea4_4332","Tsac_2184.p01","5840733bfae2da7714a13ada5e214277_7122","Thert_00180.p01"
"Tthe_1805","","translation initiation factor IF-3","5","5","1","1","1018","1","2191","","467","512","494","ad4372dd6c0e02f4056d5abcc058849f_7149","af9d275dc4cc622cb84d6cc9ce503ea4_4260","Tsac_2200.p01","5840733bfae2da7714a13ada5e214277_7194","Thert_00200.p01"
"Thert_00258","","lantibiotic protection ABC transporter, ATP-binding subunit","5","5","1","1","980","1","2153","","698","698","698","ad4372dd6c0e02f4056d5abcc058849f_7457","af9d275dc4cc622cb84d6cc9ce503ea4_4103","Tsac_2267.p01","5840733bfae2da7714a13ada5e214277_7425","Thert_00258.p01"
"Tsac_2364","","Protein of unknown function DUF2179","5","5","1","1","899","1","2072","","872","872","872","ad4372dd6c0e02f4056d5abcc058849f_7761","af9d275dc4cc622cb84d6cc9ce503ea4_3767","Tsac_2364.p01","5840733bfae2da7714a13ada5e214277_7827","Thert_00366.p01"
"Thethe_02048","","ferric uptake regulator, Fur family","5","5","1","1","806","1","1979","","422","422","422","ad4372dd6c0e02f4056d5abcc058849f_8039","af9d275dc4cc622cb84d6cc9ce503ea4_3367","Tsac_2491.p01","5840733bfae2da7714a13ada5e214277_8114","Thert_00441.p01"
"Thexy_0729","","TrpR like protein, YerC/YecD","5","5","1","1","727","1","1900","","299","299","299","ad4372dd6c0e02f4056d5abcc058849f_8328","af9d275dc4cc622cb84d6cc9ce503ea4_3030","Tsac_2563.p01","5840733bfae2da7714a13ada5e214277_8585","Thert_00541.p01"
"Tsac_1782","","flagellar motor switch protein FliG","5","5","1","1","2295","1","1052","","1007","1022","1013","ad4372dd6c0e02f4056d5abcc058849f_5758","af9d275dc4cc622cb84d6cc9ce503ea4_5515","Tsac_1782.p01","5840733bfae2da7714a13ada5e214277_5620","Thert_03240.p01"
"Thexy_2162","","hypothetical protein","5","5","1","1","1484","1","241","","137","140","138","ad4372dd6c0e02f4056d5abcc058849f_9948","af9d275dc4cc622cb84d6cc9ce503ea4_8875","Tsac_0290.p01","5840733bfae2da7714a13ada5e214277_10169","Thert_01069.p01"
"Thexy_2183","","protein of unknown function DUF1659","5","5","1","1","1464","1","221","","224","224","224","ad4372dd6c0e02f4056d5abcc058849f_10017","af9d275dc4cc622cb84d6cc9ce503ea4_8957","Tsac_0307.p01","5840733bfae2da7714a13ada5e214277_10249","Thert_01091.p01"
"Tthe_1186","","chaperone protein DnaK","5","5","1","1","2113","1","870","","1832","1841","1839","ad4372dd6c0e02f4056d5abcc058849f_4684","af9d275dc4cc622cb84d6cc9ce503ea4_6265","Tsac_2058.p01","5840733bfae2da7714a13ada5e214277_4502","Thert_00062.p01"
"Thexy_2190","","glycosyl transferase family 4","5","5","1","1","1457","1","214","","1034","1034","1034","ad4372dd6c0e02f4056d5abcc058849f_10045","af9d275dc4cc622cb84d6cc9ce503ea4_8986","Tsac_0314.p01","5840733bfae2da7714a13ada5e214277_10280","Thert_01108.p01"
"Thexy_2269","","ABC-type multidrug transport system, ATPase and permease component","5","5","1","1","1383","1","140","","1871","1871","1871","ad4372dd6c0e02f4056d5abcc058849f_10355","af9d275dc4cc622cb84d6cc9ce503ea4_9297","Tsac_0382.p01","5840733bfae2da7714a13ada5e214277_10565","Thert_01191.p01"
"Thexy_0986","","lantibiotic protection ABC transporter permease subunit, MutE/EpiE family","5","5","1","1","981","1","2154","","758","761","758","ad4372dd6c0e02f4056d5abcc058849f_7453","af9d275dc4cc622cb84d6cc9ce503ea4_4107","Tsac_2266.p01","5840733bfae2da7714a13ada5e214277_7421","Thert_00257.p01"
"Thert_01392","","ketol-acid reductoisomerase","5","5","1","1","13","1","1186","","995","995","995","ad4372dd6c0e02f4056d5abcc058849f_52","af9d275dc4cc622cb84d6cc9ce503ea4_52","Tsac_0564.p01","5840733bfae2da7714a13ada5e214277_52","Thert_01392.p01"
"Tthe_0083","","protein of unknown function DUF81","5","5","1","1","80","1","1253","","833","833","833","ad4372dd6c0e02f4056d5abcc058849f_346","af9d275dc4cc622cb84d6cc9ce503ea4_366","Tsac_0643.p01","5840733bfae2da7714a13ada5e214277_329","Thert_01484.p01"
"Thexy_0161","","acylneuraminate cytidylyltransferase","5","5","1","1","158","1","1331","","722","722","722","ad4372dd6c0e02f4056d5abcc058849f_821","af9d275dc4cc622cb84d6cc9ce503ea4_685","Tsac_0750.p01","5840733bfae2da7714a13ada5e214277_757","Thert_01610.p01"
"Tthe_0242","","acetylglutamate kinase","5","5","1","1","200","1","1373","","899","899","899","ad4372dd6c0e02f4056d5abcc058849f_957","af9d275dc4cc622cb84d6cc9ce503ea4_859","Tsac_0804.p01","5840733bfae2da7714a13ada5e214277_960","Thert_01658.p01"
"Tthe_0361","","ATP-dependent metalloprotease FtsH","5","5","1","1","256","1","1429","","1835","1835","1835","ad4372dd6c0e02f4056d5abcc058849f_1437","af9d275dc4cc622cb84d6cc9ce503ea4_1084","Tsac_0937.p01","5840733bfae2da7714a13ada5e214277_1242","Thert_01814.p01"
"Thert_01889","","ribosomal protein L1","5","5","1","1","321","1","1494","","692","728","720","ad4372dd6c0e02f4056d5abcc058849f_1680","af9d275dc4cc622cb84d6cc9ce503ea4_1345","Tsac_1000.p01","5840733bfae2da7714a13ada5e214277_1493","Thert_01889.p01"
"Thethe_00402","","ribosomal protein L15","5","5","1","1","351","1","1524","","440","440","440","ad4372dd6c0e02f4056d5abcc058849f_1800","af9d275dc4cc622cb84d6cc9ce503ea4_1465","Tsac_1030.p01","5840733bfae2da7714a13ada5e214277_1617","Thert_01927.p01"
"Thexy_0369","","ribosomal protein L13","5","5","1","1","367","1","1540","","428","428","428","ad4372dd6c0e02f4056d5abcc058849f_1864","af9d275dc4cc622cb84d6cc9ce503ea4_1529","Tsac_1046.p01","5840733bfae2da7714a13ada5e214277_1681","Thert_01943.p01"
"Tthe_0646","","PTS system transcriptional activator","5","5","1","1","543","1","1716","","2699","2720","2711","ad4372dd6c0e02f4056d5abcc058849f_2612","af9d275dc4cc622cb84d6cc9ce503ea4_2271","Tsac_1263.p01","5840733bfae2da7714a13ada5e214277_2548","Thert_02289.p01"
"Tsac_1287","","transcriptional regulator, GntR family with LacI sensor","5","5","1","1","559","1","1732","","1112","1112","1112","ad4372dd6c0e02f4056d5abcc058849f_2706","af9d275dc4cc622cb84d6cc9ce503ea4_2336","Tsac_1287.p01","5840733bfae2da7714a13ada5e214277_2624","Thert_02320.p01"
"Tsac_1345","","ABC-type transporter, integral membrane subunit","5","5","1","1","618","1","1791","","824","824","824","ad4372dd6c0e02f4056d5abcc058849f_3043","af9d275dc4cc622cb84d6cc9ce503ea4_2580","Tsac_1345.p01","5840733bfae2da7714a13ada5e214277_2914","Thert_02442.p01"
"Thert_02445","","ABC-type transporter, integral membrane subunit","5","5","1","1","622","1","1795","","920","920","920","ad4372dd6c0e02f4056d5abcc058849f_3052","af9d275dc4cc622cb84d6cc9ce503ea4_2598","Tsac_1349.p01","5840733bfae2da7714a13ada5e214277_2924","Thert_02445.p01"
"Tthe_0889","","ATP synthase subunit a","5","5","1","1","1809","1","566","","656","656","656","ad4372dd6c0e02f4056d5abcc058849f_3526","af9d275dc4cc622cb84d6cc9ce503ea4_7538","Tsac_1419.p01","5840733bfae2da7714a13ada5e214277_3279","Thert_02666.p01"
"Tthe_1120","","hydrogenase, Fe-only","5","5","1","1","2046","1","803","","1745","1745","1745","ad4372dd6c0e02f4056d5abcc058849f_4412","af9d275dc4cc622cb84d6cc9ce503ea4_6546","Tsac_2126.p01","5840733bfae2da7714a13ada5e214277_4205","Thert_00137.p01"
"Thert_00117","","50S ribosomal protein L27","5","5","1","1","2066","1","823","","287","287","287","ad4372dd6c0e02f4056d5abcc058849f_4494","af9d275dc4cc622cb84d6cc9ce503ea4_6463","Tsac_2106.p01","5840733bfae2da7714a13ada5e214277_4289","Thert_00117.p01"
"Tsac_2031","","ribonuclease R","5","5","1","1","2137","1","894","","2147","2159","2153","ad4372dd6c0e02f4056d5abcc058849f_4776","af9d275dc4cc622cb84d6cc9ce503ea4_6168","Tsac_2031.p01","5840733bfae2da7714a13ada5e214277_4594","Thert_00033.p01"
"Tsac_2022","","DivIVA domain protein","5","5","1","1","2147","1","904","","488","488","488","ad4372dd6c0e02f4056d5abcc058849f_4823","af9d275dc4cc622cb84d6cc9ce503ea4_6126","Tsac_2022.p01","5840733bfae2da7714a13ada5e214277_4634","Thert_00024.p01"
"Tthe_1353","","spore coat assembly protein SafA","5","5","1","1","1225","1","1154","","125","362","314","ad4372dd6c0e02f4056d5abcc058849f_5352","af9d275dc4cc622cb84d6cc9ce503ea4_5103","Tsac_1884.p01","5840733bfae2da7714a13ada5e214277_5205","Thert_03359.p01"
"Tsac_1778","","flagellar basal-body rod protein FlgB","5","5","1","1","2291","1","1048","","410","410","410","ad4372dd6c0e02f4056d5abcc058849f_5774","af9d275dc4cc622cb84d6cc9ce503ea4_5531","Tsac_1778.p01","5840733bfae2da7714a13ada5e214277_5636","Thert_03234.p01"
"Thexy_1338","","ATP-dependent protease hslV","5","5","1","1","2288","1","1045","","530","530","530","ad4372dd6c0e02f4056d5abcc058849f_5786","af9d275dc4cc622cb84d6cc9ce503ea4_5543","Tsac_1775.p01","5840733bfae2da7714a13ada5e214277_5648","Thert_03231.p01"
"Thert_03171","","50S ribosomal protein L28","5","5","1","1","2246","1","1003","","188","191","189","ad4372dd6c0e02f4056d5abcc058849f_5989","af9d275dc4cc622cb84d6cc9ce503ea4_5712","Tsac_1732.p01","5840733bfae2da7714a13ada5e214277_5865","Thert_03171.p01"
"Tsac_1687","","preprotein translocase, YajC subunit","5","5","1","1","2200","1","957","","284","284","284","ad4372dd6c0e02f4056d5abcc058849f_6184","af9d275dc4cc622cb84d6cc9ce503ea4_5905","Tsac_1687.p01","5840733bfae2da7714a13ada5e214277_6064","Thert_03112.p01"
"Thexy_R0065","","tRNA-Leu","5","5","1","1","2178","1","935","","83","86","84","ad4372dd6c0e02f4056d5abcc058849f_6260","af9d275dc4cc622cb84d6cc9ce503ea4_5995","Tsac_R0048.r01","5840733bfae2da7714a13ada5e214277_6146","Thert_r038.r01"
"Thert_03032","","thioredoxin","5","5","1","1","1123","1","2296","","332","332","332","ad4372dd6c0e02f4056d5abcc058849f_6404","af9d275dc4cc622cb84d6cc9ce503ea4_4691","Tsac_1634.p01","5840733bfae2da7714a13ada5e214277_6429","Thert_03032.p01"
"Thethe_01625","","protein of unknown function UPF0016","5","5","1","1","1114","1","2287","","563","563","563","ad4372dd6c0e02f4056d5abcc058849f_6444","af9d275dc4cc622cb84d6cc9ce503ea4_4654","Tsac_1625.p01","5840733bfae2da7714a13ada5e214277_6459","Thert_03023.p01"
"Thexy_1070","","cell division protein FtsZ","5","5","1","1","1065","1","2238","","1088","1088","1088","ad4372dd6c0e02f4056d5abcc058849f_6964","af9d275dc4cc622cb84d6cc9ce503ea4_4454","Tsac_1575.p01","5840733bfae2da7714a13ada5e214277_6999","Thert_02930.p01"
"Tthe_1876","","phosphomethylpyrimidine kinase","5","5","1","1","996","1","2169","","809","809","809","ad4372dd6c0e02f4056d5abcc058849f_7417","af9d275dc4cc622cb84d6cc9ce503ea4_4169","Tsac_2248.p01","5840733bfae2da7714a13ada5e214277_7381","Thert_00247.p01"
"Thexy_0899","","biotin and thiamin synthesis associated","5","5","1","1","900","1","2073","","1400","1400","1400","ad4372dd6c0e02f4056d5abcc058849f_7757","af9d275dc4cc622cb84d6cc9ce503ea4_3771","Tsac_2363.p01","5840733bfae2da7714a13ada5e214277_7823","Thert_00365.p01"
"Tthe_2082","","oligopeptide/dipeptide ABC transporter, ATPase subunit","5","5","1","1","737","1","1910","","1034","1034","1034","ad4372dd6c0e02f4056d5abcc058849f_8286","af9d275dc4cc622cb84d6cc9ce503ea4_3072","Tsac_2554.p01","5840733bfae2da7714a13ada5e214277_8542","Thert_00528.p01"
