"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_001399775.1","GCA_018771645.1","GCA_028472205.1"
"pfkA","","6-phosphofructokinase","3","3","1","1","80","1","80","","968","968","968","TO73_2381.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_3202","1147bcd2e8bc16dabca75e70b6a67ef2_325"
"rpsR","","30S ribosomal protein S18","3","3","1","1","1097","1","1429","","266","269","267","TO73_0128.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_4179","1147bcd2e8bc16dabca75e70b6a67ef2_8418"
"GO600_10765","","50S ribosomal protein L9","3","3","1","1","1098","1","1430","","443","446","445","TO73_0129.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_4183","1147bcd2e8bc16dabca75e70b6a67ef2_8414"
"fusA","","elongation factor G","3","3","1","1","322","1","322","","2075","2075","2075","TO73_0373.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2204","1147bcd2e8bc16dabca75e70b6a67ef2_1319"
"TO73_0371","","30S ribosomal protein S12","3","3","1","1","320","1","320","","404","413","409","TO73_0371.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2212","1147bcd2e8bc16dabca75e70b6a67ef2_1311"
"TO73_0476","","adenine phosphoribosyltransferase","3","3","1","1","420","1","420","","521","536","526","TO73_0476.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_1808","1147bcd2e8bc16dabca75e70b6a67ef2_1717"
"glnA","","type I glutamate--ammonia ligase","3","3","1","1","1390","1","1722","","1340","1340","1340","TO73_0604.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_5637","1147bcd2e8bc16dabca75e70b6a67ef2_7208"
"nuoK","","NADH-quinone oxidoreductase subunit NuoK","3","3","1","1","1472","1","1804","","287","287","287","TO73_1586.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_5949","1147bcd2e8bc16dabca75e70b6a67ef2_6872"
"TO73_1678","","tRNA-Ala","3","3","1","1","848","1","848","","71","74","73","TO73_1678.r01","1a7f36f5a39ec6a4fe158fba3bbbf404_54","1147bcd2e8bc16dabca75e70b6a67ef2_3487"
"groL","","chaperonin GroEL","3","3","1","1","959","1","1291","","1631","1631","1631","TO73_0029.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_3574","1147bcd2e8bc16dabca75e70b6a67ef2_8989"
"groES","","co-chaperone GroES","3","3","1","1","960","1","1292","","305","305","305","TO73_0030.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_3578","1147bcd2e8bc16dabca75e70b6a67ef2_8985"
"TO73_0042","","tRNA-Arg","3","3","1","1","1017","1","1349","","73","76","75","TO73_0042.r01","1a7f36f5a39ec6a4fe158fba3bbbf404_3814","1147bcd2e8bc16dabca75e70b6a67ef2_8734"
"GO600_11100","","6,7-dimethyl-8-ribityllumazine synthase","3","3","1","1","1032","1","1364","","473","473","473","TO73_0062.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_3881","1147bcd2e8bc16dabca75e70b6a67ef2_8674"
"rpmG","","50S ribosomal protein L33","3","3","1","1","1048","1","1380","","164","164","164","TO73_0081.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_3943","1147bcd2e8bc16dabca75e70b6a67ef2_8614"
"nusG","","transcription termination/antitermination protein NusG","3","3","1","1","1050","1","1382","","554","554","554","TO73_0083.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_3951","1147bcd2e8bc16dabca75e70b6a67ef2_8606"
"rplK","","50S ribosomal protein L11","3","3","1","1","1051","1","1383","","443","443","443","TO73_0084.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_3955","1147bcd2e8bc16dabca75e70b6a67ef2_8602"
"TO73_0085","","50S ribosomal protein L1","3","3","1","1","1052","1","1384","","689","689","689","TO73_0085.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_3959","1147bcd2e8bc16dabca75e70b6a67ef2_8598"
"rplL","","50S ribosomal protein L7/L12","3","3","1","1","1054","1","1386","","377","377","377","TO73_0087.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_3967","1147bcd2e8bc16dabca75e70b6a67ef2_8590"
"GO600_10865","","tRNA-Trp","3","3","1","1","1079","1","1411","","72","75","74","TO73_0106.r01","1a7f36f5a39ec6a4fe158fba3bbbf404_4066","1147bcd2e8bc16dabca75e70b6a67ef2_8490"
"KNN15_05310","","tRNA-Asn","3","3","1","1","1094","1","1426","","72","75","74","TO73_0125.r01","1a7f36f5a39ec6a4fe158fba3bbbf404_4167","1147bcd2e8bc16dabca75e70b6a67ef2_8429"
"KNN15_05400","","alpha-ketoacid dehydrogenase subunit beta","3","3","1","1","1117","1","1449","","974","974","974","TO73_0139.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_4233","1147bcd2e8bc16dabca75e70b6a67ef2_8336"
"GO600_10555","","type II toxin-antitoxin system HicB family antitoxin","3","3","1","1","1139","1","1471","","254","263","260","TO73_0162.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_4379","1147bcd2e8bc16dabca75e70b6a67ef2_8248"
"TO73_1691","","stage V sporulation protein S","3","3","1","1","836","1","836","","272","272","272","TO73_1691.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_102","1147bcd2e8bc16dabca75e70b6a67ef2_3440"
"GO600_09475","","MFS transporter","3","3","1","1","1343","1","1675","","1196","1196","1196","TO73_0342.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_9085","1147bcd2e8bc16dabca75e70b6a67ef2_7405"
"rpmJ","","50S ribosomal protein L36","3","3","1","1","349","1","349","","113","113","113","TO73_0400.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2096","1147bcd2e8bc16dabca75e70b6a67ef2_1427"
"GO600_09470","","radical SAM protein","3","3","1","1","1344","1","1676","","1475","1475","1475","TO73_0343.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_9089","1147bcd2e8bc16dabca75e70b6a67ef2_7401"
"KNN15_05615","","tRNA-Ala","3","3","1","1","1146","1","1478","","72","75","74","TO73_0168.r01","1a7f36f5a39ec6a4fe158fba3bbbf404_4402","1147bcd2e8bc16dabca75e70b6a67ef2_8220"
"KNN15_09235","","hypothetical protein","3","3","1","1","1708","1","2040","","368","368","368","TO73_1625.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_7247","1147bcd2e8bc16dabca75e70b6a67ef2_5902"
"rplN","","50S ribosomal protein L14","3","3","1","1","335","1","335","","368","368","368","TO73_0386.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2152","1147bcd2e8bc16dabca75e70b6a67ef2_1371"
"infA","","translation initiation factor IF-1","3","3","1","1","348","1","348","","218","218","218","TO73_0399.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2100","1147bcd2e8bc16dabca75e70b6a67ef2_1423"
"KNN15_05300","","NAD(P) transhydrogenase subunit alpha","3","3","1","1","1092","1","1424","","299","302","301","TO73_0123.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_4160","1147bcd2e8bc16dabca75e70b6a67ef2_8437"
"GO600_08745","","NADH-quinone oxidoreductase subunit B","3","3","1","1","1481","1","1813","","545","545","545","TO73_1577.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_5985","1147bcd2e8bc16dabca75e70b6a67ef2_6836"
"pdxS","","pyridoxal 5'-phosphate synthase lyase subunit PdxS","3","3","1","1","863","1","863","","881","893","885","TO73_1650.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_10040","1147bcd2e8bc16dabca75e70b6a67ef2_3550"
"greA","","transcription elongation factor GreA","3","3","1","1","2129","1","1017","","470","470","470","TO73_1130.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_9225","1147bcd2e8bc16dabca75e70b6a67ef2_4184"
"rplB","","50S ribosomal protein L2","3","3","1","1","328","1","328","","827","830","828","TO73_0379.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2180","1147bcd2e8bc16dabca75e70b6a67ef2_1343"
"floA","","flotillin-like protein FloA","3","3","1","1","1797","1","2129","","977","977","977","TO73_0709.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_7618","1147bcd2e8bc16dabca75e70b6a67ef2_5533"
"rpsJ","","30S ribosomal protein S10","3","3","1","1","324","1","324","","317","317","317","TO73_0375.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2196","1147bcd2e8bc16dabca75e70b6a67ef2_1327"
"KNN15_05875","","4Fe-4S dicluster domain-containing protein","3","3","1","1","1189","1","1521","","230","239","236","TO73_0235.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_4608","1147bcd2e8bc16dabca75e70b6a67ef2_8047"
"KNN15_05885","","cold-shock protein","3","3","1","1","1191","1","1523","","221","221","221","TO73_0237.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_4616","1147bcd2e8bc16dabca75e70b6a67ef2_8039"
"KNN15_05920","","CarD family transcriptional regulator","3","3","1","1","1199","1","1531","","494","494","494","TO73_0244.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_4644","1147bcd2e8bc16dabca75e70b6a67ef2_8007"
"sufC","","Fe-S cluster assembly ATPase SufC","3","3","1","1","1250","1","1582","","752","752","752","TO73_0293.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_4856","1147bcd2e8bc16dabca75e70b6a67ef2_7795"
"recA","","recombinase RecA","3","3","1","1","1272","1","1604","","1022","1022","1022","TO73_0318.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_4942","1147bcd2e8bc16dabca75e70b6a67ef2_7705"
"TO73_0320","","MreB/Mrl family cell shape determining protein","3","3","1","1","1276","1","1608","","1031","1031","1031","TO73_0320.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_4958","1147bcd2e8bc16dabca75e70b6a67ef2_7689"
"rpsG","","30S ribosomal protein S7","3","3","1","1","321","1","321","","467","470","469","TO73_0372.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2208","1147bcd2e8bc16dabca75e70b6a67ef2_1315"
"rpsS","","30S ribosomal protein S19","3","3","1","1","329","1","329","","281","281","281","TO73_0380.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2176","1147bcd2e8bc16dabca75e70b6a67ef2_1347"
"rplP","","50S ribosomal protein L16","3","3","1","1","332","1","332","","425","425","425","TO73_0383.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2164","1147bcd2e8bc16dabca75e70b6a67ef2_1359"
"rpsQ","","30S ribosomal protein S17","3","3","1","1","334","1","334","","317","317","317","TO73_0385.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2156","1147bcd2e8bc16dabca75e70b6a67ef2_1367"
"KNN15_02725","","type Z 30S ribosomal protein S14","3","3","1","1","338","1","338","","185","185","185","TO73_0389.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2140","1147bcd2e8bc16dabca75e70b6a67ef2_1383"
"rpsH","","30S ribosomal protein S8","3","3","1","1","339","1","339","","416","416","416","TO73_0390.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2136","1147bcd2e8bc16dabca75e70b6a67ef2_1387"
"secY","","preprotein translocase subunit SecY","3","3","1","1","345","1","345","","1316","1316","1316","TO73_0396.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2112","1147bcd2e8bc16dabca75e70b6a67ef2_1411"
"map","","type I methionyl aminopeptidase","3","3","1","1","347","1","347","","767","767","767","TO73_0398.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2104","1147bcd2e8bc16dabca75e70b6a67ef2_1419"
"rpsK","","30S ribosomal protein S11","3","3","1","1","351","1","351","","350","389","376","TO73_0402.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2088","1147bcd2e8bc16dabca75e70b6a67ef2_1435"
"rplQ","","50S ribosomal protein L17","3","3","1","1","354","1","354","","356","356","356","TO73_0405.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2076","1147bcd2e8bc16dabca75e70b6a67ef2_1447"
"GO600_01915","","deoxyhypusine synthase","3","3","1","1","368","1","368","","1022","1022","1022","TO73_0420.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2020","1147bcd2e8bc16dabca75e70b6a67ef2_1503"
"TO73_0438","","hypothetical protein","3","3","1","1","384","1","384","","215","275","255","TO73_0438.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_1956","1147bcd2e8bc16dabca75e70b6a67ef2_1567"
"TO73_0463","","two-component response regulator","3","3","1","1","405","1","405","","674","692","680","TO73_0463.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_1868","1147bcd2e8bc16dabca75e70b6a67ef2_1653"
"TO73_0481","","FmdB family transcriptional regulator","3","3","1","1","425","1","425","","233","254","240","TO73_0481.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_1788","1147bcd2e8bc16dabca75e70b6a67ef2_1737"
"rpsI","","30S ribosomal protein S9","3","3","1","1","447","1","447","","386","386","386","TO73_0504.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_1696","1147bcd2e8bc16dabca75e70b6a67ef2_1827"
"rplM","","50S ribosomal protein L13","3","3","1","1","448","1","448","","425","431","429","TO73_0505.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_1692","1147bcd2e8bc16dabca75e70b6a67ef2_1831"
"GO600_02350","","tRNA-Lys","3","3","1","1","450","1","450","","72","75","74","TO73_0508.r01","1a7f36f5a39ec6a4fe158fba3bbbf404_1678","1147bcd2e8bc16dabca75e70b6a67ef2_1840"
"GO600_02630","","tRNA-Phe","3","3","1","1","504","1","504","","72","75","74","TO73_0562.r01","1a7f36f5a39ec6a4fe158fba3bbbf404_1461","1147bcd2e8bc16dabca75e70b6a67ef2_2059"
"TO73_0622","","uracil phosphoribosyltransferase","3","3","1","1","1408","1","1740","","626","626","626","TO73_0622.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_5709","1147bcd2e8bc16dabca75e70b6a67ef2_7134"
"GO600_07145","","bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II","3","3","1","1","1783","1","2115","","1199","1199","1199","TO73_0695.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_7562","1147bcd2e8bc16dabca75e70b6a67ef2_5589"
"KNN15_09650","","methylmalonyl-CoA mutase","3","3","1","1","1787","1","2119","","1655","1655","1655","TO73_0700.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_7578","1147bcd2e8bc16dabca75e70b6a67ef2_5573"
"KNN15_09875","","gliding-motility protein MglA","3","3","1","1","1832","1","2164","","587","590","588","TO73_0741.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_7758","1147bcd2e8bc16dabca75e70b6a67ef2_5391"
"efp","","elongation factor P","3","3","1","1","1838","1","2170","","554","554","554","TO73_0748.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_7786","1147bcd2e8bc16dabca75e70b6a67ef2_5367"
"KNN15_10050","","tRNA-Pro","3","3","1","1","1863","1","2195","","73","76","75","TO73_0798.r01","1a7f36f5a39ec6a4fe158fba3bbbf404_7897","1147bcd2e8bc16dabca75e70b6a67ef2_5261"
"TO73_1166","","RNA-directed DNA polymerase","2","2","1","","","","","","491","1043","767","TO73_1166.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_9394",""
"KNN15_11960","","23S rRNA intervening sequence protein","2","2","1","","","","","","188","347","267","TO73_1167.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_9398",""
"TO73_1173","","hypothetical protein","2","2","1","","","","","","758","758","758","TO73_1173.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_9422",""
"TO73_1174","","baseplate J family protein","2","2","1","","","","","","1034","1037","1035","TO73_1174.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_9426",""
"TO73_1292","","amino acid ABC transporter ATP-binding protein","2","2","1","","","","","","725","734","729","TO73_1292.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_13",""
"tdh","","L-threonine 3-dehydrogenase","2","2","1","","","","","","1031","1031","1031","TO73_1398.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_7019",""
"KNN15_08820","","tRNA-Leu","2","2","1","","","","","","83","86","84","TO73_1425.r01","1a7f36f5a39ec6a4fe158fba3bbbf404_6921",""
"TO73_1598","","V-type ATP synthase subunit K","2","2","1","1","1726","1","2058","","299","299","299","TO73_1598.p01","","1147bcd2e8bc16dabca75e70b6a67ef2_5825"
"KNN15_12920","","mobile element protein","2","2","1","","","","","","98","179","138","TO73_1919.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_10155",""
"KNN15_12860","","hypothetical protein","2","2","1","","","","","","524","524","524","TO73_1972.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_10113",""
"KNN15_00055","","hypothetical protein","2","2","1","","","","","","2816","2867","2841","TO73_2836.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_37",""
"KNN15_00150","","recombination regulator RecX","2","2","1","1","828","1","828","","440","440","440","","1a7f36f5a39ec6a4fe158fba3bbbf404_110","1147bcd2e8bc16dabca75e70b6a67ef2_3400"
"GO600_04290","","carbon-nitrogen hydrolase family protein","2","2","1","1","815","1","815","","839","848","843","","1a7f36f5a39ec6a4fe158fba3bbbf404_162","1147bcd2e8bc16dabca75e70b6a67ef2_3348"
"GO600_04050","","hypothetical protein","2","2","1","1","771","1","771","","284","284","284","","1a7f36f5a39ec6a4fe158fba3bbbf404_362","1147bcd2e8bc16dabca75e70b6a67ef2_3164"
"KNN15_00480","","peptidoglycan DD-metalloendopeptidase family protein","2","2","1","1","769","1","769","","1271","1292","1281","","1a7f36f5a39ec6a4fe158fba3bbbf404_370","1147bcd2e8bc16dabca75e70b6a67ef2_3156"
"KNN15_00670","","VWA domain-containing protein","2","2","1","1","736","1","736","","1331","1334","1332","","1a7f36f5a39ec6a4fe158fba3bbbf404_516","1147bcd2e8bc16dabca75e70b6a67ef2_3022"
"holA","","DNA polymerase III subunit delta","2","2","1","1","732","1","732","","899","899","899","","1a7f36f5a39ec6a4fe158fba3bbbf404_532","1147bcd2e8bc16dabca75e70b6a67ef2_3006"
"GO600_03710","","alpha/beta hydrolase","2","2","1","1","706","1","706","","539","632","585","","1a7f36f5a39ec6a4fe158fba3bbbf404_649","1147bcd2e8bc16dabca75e70b6a67ef2_2897"
"tsaB","","tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB","2","2","1","1","687","1","687","","554","554","554","","1a7f36f5a39ec6a4fe158fba3bbbf404_729","1147bcd2e8bc16dabca75e70b6a67ef2_2819"
"KNN15_00970","","restriction endonuclease","2","2","1","1","685","1","685","","146","995","570","","1a7f36f5a39ec6a4fe158fba3bbbf404_756","1147bcd2e8bc16dabca75e70b6a67ef2_2811"
"speD","","adenosylmethionine decarboxylase","2","2","1","1","674","1","674","","434","443","438","","1a7f36f5a39ec6a4fe158fba3bbbf404_792","1147bcd2e8bc16dabca75e70b6a67ef2_2767"
"GO600_03495","","ABC transporter ATP-binding protein","2","2","1","1","664","1","664","","740","740","740","","1a7f36f5a39ec6a4fe158fba3bbbf404_832","1147bcd2e8bc16dabca75e70b6a67ef2_2727"
"panB","","3-methyl-2-oxobutanoate hydroxymethyltransferase","2","2","1","1","662","1","662","","785","785","785","","1a7f36f5a39ec6a4fe158fba3bbbf404_840","1147bcd2e8bc16dabca75e70b6a67ef2_2719"
"GO600_03445","","alpha-galactosidase","2","2","1","1","655","1","655","","1448","1448","1448","","1a7f36f5a39ec6a4fe158fba3bbbf404_872","1147bcd2e8bc16dabca75e70b6a67ef2_2689"
"KNN15_01165","","glutamine synthetase/cystathionine beta-lyase binding protein","2","2","1","1","646","1","646","","287","287","287","","1a7f36f5a39ec6a4fe158fba3bbbf404_910","1147bcd2e8bc16dabca75e70b6a67ef2_2651"
"KNN15_01170","","VOC family protein","2","2","1","1","645","1","645","","380","380","380","","1a7f36f5a39ec6a4fe158fba3bbbf404_914","1147bcd2e8bc16dabca75e70b6a67ef2_2647"
"rnhA","","ribonuclease HI","2","2","1","1","643","1","643","","485","485","485","","1a7f36f5a39ec6a4fe158fba3bbbf404_922","1147bcd2e8bc16dabca75e70b6a67ef2_2639"
