"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000597845.1","GCA_000599625.1","GCA_000599645.1","GCA_000599665.1","GCA_000599685.1","GCA_000599705.1","GCA_000784925.1","GCA_000801165.1","GCA_000801185.2","GCA_000814145.2"
"ECONIH1_17005","","nucleoside-triphosphate diphosphatase","10","10","1","1","877","1","2909","","593","593","593","BU34_13940.p01","CF57_05155.p01","CF61_05960.p01","CF58_24540.p01","CF59_24525.p01","CF60_24090.p01","ECONIH1_17005.p01","HW42_19545.p01","HW43_19275.p01","RR31_15590.p01"
"CF57_05175","","twitching motility protein","10","10","1","1","881","1","2913","","881","881","881","BU34_13960.p01","CF57_05175.p01","CF61_05980.p01","CF58_24520.p01","CF59_24505.p01","CF60_24070.p01","ECONIH1_16985.p01","HW42_19525.p01","HW43_19255.p01","RR31_15570.p01"
"HW43_19225","","hypothetical protein","10","10","1","1","887","1","2919","","455","497","467","BU34_13995.p01","CF57_05210.p01","CF61_06015.p01","CF58_24490.p01","CF59_24475.p01","CF60_24040.p01","ECONIH1_16955.p01","HW42_19495.p01","HW43_19225.p01","RR31_15540.p01"
"HW42_19475","","arginine decarboxylase","10","10","1","1","892","1","2924","","1898","1976","1921","BU34_14035.p01","CF57_05250.p01","CF61_06055.p01","CF58_24455.p01","CF59_24440.p01","CF60_24005.p01","ECONIH1_16925.p01","HW42_19475.p01","HW43_19205.p01","RR31_15510.p01"
"cmtB","","PTS system mannitol-specific transporter subunit IIA","10","10","1","1","896","1","2928","","443","443","443","BU34_14070.p01","CF57_05285.p01","CF61_06090.p01","CF58_24390.p01","CF59_24375.p01","CF60_23940.p01","ECONIH1_16895.p01","HW42_19415.p01","HW43_19145.p01","RR31_15490.p01"
"HW42_19395","","transcriptional regulator","10","10","1","1","900","1","2932","","509","509","509","BU34_14090.p01","CF57_05305.p01","CF61_06110.p01","CF58_24370.p01","CF59_24355.p01","CF60_23920.p01","ECONIH1_16875.p01","HW42_19395.p01","HW43_19125.p01","RR31_15470.p01"
"RR31_15440","","arginine exporter protein","10","10","1","1","907","1","2939","","593","635","601","BU34_14135.p01","CF57_05350.p01","CF61_06155.p01","CF58_24320.p01","CF59_24305.p01","CF60_23870.p01","ECONIH1_16845.p01","HW42_19340.p01","HW43_19070.p01","RR31_15440.p01"
"CF61_06255","","proline aminopeptidase P II","10","10","1","1","923","1","2955","","1325","1325","1325","BU34_14235.p01","CF57_05450.p01","CF61_06255.p01","CF58_24215.p01","CF59_24200.p01","CF60_23765.p01","ECONIH1_16740.p01","HW42_19270.p01","HW43_19000.p01","RR31_15370.p01"
"ECONIH1_16735","","2-octaprenyl-6-methoxyphenyl hydroxylase","10","10","1","1","924","1","2956","","1178","1178","1178","BU34_14240.p01","CF57_05455.p01","CF61_06260.p01","CF58_24210.p01","CF59_24195.p01","CF60_23760.p01","ECONIH1_16735.p01","HW42_19265.p01","HW43_18995.p01","RR31_15365.p01"
"CF60_23715","","hypothetical protein","10","10","1","1","930","1","2962","","311","311","311","BU34_14280.p01","CF57_05495.p01","CF61_06300.p01","CF58_24165.p01","CF59_24150.p01","CF60_23715.p01","ECONIH1_16705.p01","HW42_19230.p01","HW43_18960.p01","RR31_15330.p01"
"ECONIH1_16670","","protein-disulfide isomerase","10","10","1","1","937","1","2969","","710","710","710","BU34_14325.p01","CF57_05540.p01","CF61_06345.p01","CF58_24125.p01","CF59_24110.p01","CF60_23675.p01","ECONIH1_16670.p01","HW42_19190.p01","HW43_18920.p01","RR31_15295.p01"
"CF59_24050","","guanine deaminase","10","10","1","1","946","1","2978","","1124","1316","1258","BU34_14385.p01","CF57_05600.p01","CF61_06405.p01","CF58_24065.p01","CF59_24050.p01","CF60_23615.p01","ECONIH1_16615.p01","HW42_19135.p01","HW43_18865.p01","RR31_15240.p01"
"HW43_18605","","racemase","10","10","1","1","980","1","3012","","692","692","692","BU34_14640.p01","CF57_05965.p01","CF61_06665.p01","CF58_23680.p01","CF59_23670.p01","CF60_23365.p01","ECONIH1_16230.p01","HW42_18870.p01","HW43_18605.p01","RR31_14970.p01"
"BU34_14675","","acyl-ACP synthetase","10","10","1","1","984","1","3016","","593","2159","2002","BU34_14675.p01","CF57_06000.p01","CF61_06700.p01","CF58_23645.p01","CF59_23635.p01","CF60_23340.p01","ECONIH1_16210.p01","HW42_18850.p01","HW43_18585.p01","RR31_14950.p01"
"CF58_23380","","hypothetical protein","10","10","1","1","1026","1","3058","","329","329","329","BU34_14945.p01","CF57_06270.p01","CF61_06970.p01","CF58_23380.p01","CF59_23370.p01","CF60_23045.p01","ECONIH1_15950.p01","HW42_18595.p01","HW43_18240.p01","RR31_14710.p01"
"RR31_14700","","flavodoxin","10","10","1","1","1028","1","3060","","449","449","449","BU34_14955.p01","CF57_06280.p01","CF61_06980.p01","CF58_23370.p01","CF59_23360.p01","CF60_23035.p01","ECONIH1_15940.p01","HW42_18585.p01","HW43_18230.p01","RR31_14700.p01"
"CF57_06395","","sugar kinase","10","10","1","1","1041","1","3073","","851","1478","1289","BU34_15070.p01","CF57_06395.p01","CF61_07095.p01","CF58_23250.p01","CF59_23240.p01","CF60_22915.p01","ECONIH1_15865.p01","HW42_18510.p01","HW43_18155.p01","RR31_14625.p01"
"CF57_06440","","FAD-dependent oxidoreductase","10","10","1","1","1050","1","3082","","1271","1271","1271","BU34_15115.p01","CF57_06440.p01","CF61_07140.p01","CF58_23205.p01","CF59_23195.p01","CF60_22870.p01","ECONIH1_15820.p01","HW42_18465.p01","HW43_18110.p01","RR31_14580.p01"
"HW43_17910","","hypothetical protein","10","10","1","1","1088","1","3120","","344","353","349","BU34_15340.p01","CF57_06665.p01","CF61_07365.p01","CF58_22995.p01","CF59_22985.p01","CF60_22660.p01","ECONIH1_15660.p01","HW42_18265.p01","HW43_17910.p01","RR31_14410.p01"
"RR31_14335","","formate hydrogenlyase maturation protein HycH","10","10","1","1","1102","1","3134","","410","410","410","BU34_15415.p01","CF57_06740.p01","CF61_07440.p01","CF58_22915.p01","CF59_22905.p01","CF60_22580.p01","ECONIH1_15580.p01","HW42_18195.p01","HW43_17835.p01","RR31_14335.p01"
"ECONIH1_15565","","6-phospho-beta-glucosidase","10","10","1","1","1104","1","3136","","1424","1424","1424","BU34_15425.p01","CF57_06750.p01","CF61_07450.p01","CF58_22895.p01","CF59_22885.p01","CF60_22560.p01","ECONIH1_15565.p01","HW42_18175.p01","HW43_17825.p01","RR31_14325.p01"
"ECONIH1_15555","","transcriptional regulator","10","10","1","1","1106","1","3138","","1010","1013","1011","BU34_15435.p01","CF57_06760.p01","CF61_07460.p01","CF58_22885.p01","CF59_22875.p01","CF60_22550.p01","ECONIH1_15555.p01","HW42_18165.p01","HW43_17815.p01","RR31_14315.p01"
"CF58_22865","","carbamoyl phosphate phosphatase","10","10","1","1","1108","1","3140","","2240","2252","2247","BU34_15460.p01","CF57_06785.p01","CF61_07485.p01","CF58_22865.p01","CF59_22855.p01","CF60_22530.p01","ECONIH1_15545.p01","HW42_18155.p01","HW43_17805.p01","RR31_14305.p01"
"RR31_14300","","NADH:flavorubredoxin oxidoreductase","10","10","1","1","1110","1","3142","","1133","1133","1133","BU34_15470.p01","CF57_06795.p01","CF61_07495.p01","CF58_22860.p01","CF59_22850.p01","CF60_22525.p01","ECONIH1_15540.p01","HW42_18150.p01","HW43_17800.p01","RR31_14300.p01"
"emrB","","multidrug resistance protein B","10","10","1","1","1134","1","3166","","494","1538","1433","BU34_15650.p01","CF57_06975.p01","CF61_07675.p01","CF58_22675.p01","CF59_22665.p01","CF60_22340.p01","ECONIH1_15410.p01","HW42_18015.p01","HW43_17675.p01","RR31_14165.p01"
"nrdI","","ribonucleotide reductase stimulatory protein","10","10","1","1","1145","1","3177","","401","410","407","BU34_15720.p01","CF57_07045.p01","CF61_07745.p01","CF58_22600.p01","CF59_22590.p01","CF60_22265.p01","ECONIH1_15355.p01","HW42_17960.p01","HW43_17620.p01","RR31_14110.p01"
"CF59_22535","","membrane protein","10","10","1","1","1151","1","3183","","524","524","524","BU34_15760.p01","CF57_07085.p01","CF61_07785.p01","CF58_22545.p01","CF59_22535.p01","CF60_22210.p01","ECONIH1_15315.p01","HW42_17930.p01","HW43_17590.p01","RR31_14080.p01"
"gabD","","succinate-semialdehyde dehydrogenase","10","10","1","1","1157","1","3189","","1448","1448","1448","BU34_15795.p01","CF57_07120.p01","CF61_07820.p01","CF58_22510.p01","CF59_22500.p01","CF60_22175.p01","ECONIH1_15280.p01","HW42_17895.p01","HW43_17555.p01","RR31_14045.p01"
"CF59_22490","","carbon starvation induced protein","10","10","1","1","1159","1","3191","","977","977","977","BU34_15805.p01","CF57_07130.p01","CF61_07830.p01","CF58_22500.p01","CF59_22490.p01","CF60_22165.p01","ECONIH1_15270.p01","HW42_17885.p01","HW43_17545.p01","RR31_14035.p01"
"ECONIH1_25310","","alcohol dehydrogenase","10","10","1","1","3088","1","574","","1019","1019","1019","BU34_15940.p01","CF57_26960.p01","CF61_27660.p01","CF58_03000.p01","CF59_03050.p01","CF60_03045.p01","ECONIH1_25310.p01","HW42_02995.p01","HW43_03030.p01","RR31_22605.p01"
"CF58_02980","","lipopolysaccharide ABC transporter permease","10","10","1","1","3085","1","571","","1007","1100","1044","BU34_15955.p01","CF57_26975.p01","CF61_27675.p01","CF58_02980.p01","CF59_03030.p01","CF60_03025.p01","ECONIH1_25270.p01","HW42_02980.p01","HW43_03015.p01","RR31_22590.p01"
"CF57_27010","","membrane protein","10","10","1","1","3080","1","566","","1196","1196","1196","BU34_15990.p01","CF57_27010.p01","CF61_27710.p01","CF58_02955.p01","CF59_03005.p01","CF60_03000.p01","ECONIH1_25250.p01","HW42_02960.p01","HW43_02995.p01","RR31_22570.p01"
"CF58_02950","","acetyltransferase","10","10","1","1","3079","1","565","","503","503","503","BU34_15995.p01","CF57_27015.p01","CF61_27715.p01","CF58_02950.p01","CF59_03000.p01","CF60_02995.p01","ECONIH1_25245.p01","HW42_02955.p01","HW43_02990.p01","RR31_22565.p01"
"ECONIH1_25225","","Toxin-antitoxin biofilm protein TabA","10","10","1","1","3076","1","562","","452","452","452","BU34_16020.p01","CF57_27040.p01","CF61_27740.p01","CF58_02925.p01","CF59_02975.p01","CF60_02970.p01","ECONIH1_25225.p01","HW42_02930.p01","HW43_02970.p01","RR31_22545.p01"
"HW42_02920","","TetR family transcriptional regulator","10","10","1","1","3075","1","561","","593","593","593","BU34_16030.p01","CF57_27050.p01","CF61_27750.p01","CF58_02915.p01","CF59_02965.p01","CF60_02960.p01","ECONIH1_25220.p01","HW42_02920.p01","HW43_02960.p01","RR31_22540.p01"
"CF59_02870","","ribonucleoside-triphosphate reductase","10","10","1","1","3062","1","548","","464","464","464","BU34_16125.p01","CF57_27145.p01","CF61_27845.p01","CF58_02820.p01","CF59_02870.p01","CF60_02860.p01","ECONIH1_25155.p01","HW42_02865.p01","HW43_02900.p01","RR31_22475.p01"
"CF58_02680","","hypothetical protein","10","10","1","1","3043","1","529","","554","557","555","BU34_16245.p01","CF57_27265.p01","CF61_27965.p01","CF58_02680.p01","CF59_02730.p01","CF60_02720.p01","ECONIH1_25065.p01","HW42_02770.p01","HW43_02805.p01","RR31_22385.p01"
"HW43_02785","","quinone oxidoreductase","10","10","1","1","3039","1","525","","860","860","860","BU34_16270.p01","CF57_27290.p01","CF61_27990.p01","CF58_02650.p01","CF59_02700.p01","CF60_02690.p01","ECONIH1_25040.p01","HW42_02750.p01","HW43_02785.p01","RR31_22365.p01"
"group_1082","araD","ribulose 5-phosphate epimerase","10","10","1","1","3019","1","505","","686","686","686","BU34_16395.p01","CF57_27415.p01","CF61_28115.p01","CF58_02560.p01","CF59_02610.p01","CF60_02595.p01","ECONIH1_24960.p01","HW42_02640.p01","HW43_02690.p01","RR31_22255.p01"
"CF59_02595","","PTS ascorbate-specific transporter subunit IIA","10","10","1","1","3017","1","503","","464","464","464","BU34_16410.p01","CF57_27430.p01","CF61_28130.p01","CF58_02545.p01","CF59_02595.p01","CF60_02580.p01","ECONIH1_24945.p01","HW42_02625.p01","HW43_02675.p01","RR31_22240.p01"
"CF60_02515","","hypothetical protein","10","10","1","1","3005","1","491","","659","659","659","BU34_16475.p01","CF57_27495.p01","CF61_28195.p01","CF58_02480.p01","CF59_02530.p01","CF60_02515.p01","ECONIH1_24885.p01","HW42_02565.p01","HW43_02615.p01","RR31_22180.p01"
"CF61_28205","","hypothetical protein","10","10","1","1","3003","1","489","","401","401","401","BU34_16485.p01","CF57_27505.p01","CF61_28205.p01","CF58_02470.p01","CF59_02520.p01","CF60_02505.p01","ECONIH1_24875.p01","HW42_02555.p01","HW43_02605.p01","RR31_22170.p01"
"HW42_02440","","transporter","10","10","1","1","2978","1","464","","1502","1502","1502","BU34_16635.p01","CF57_27655.p01","CF61_28355.p01","CF58_02330.p01","CF59_02380.p01","CF60_02365.p01","ECONIH1_24760.p01","HW42_02440.p01","HW43_02490.p01","RR31_22045.p01"
"BU34_16720","","hypothetical protein","10","10","1","1","2965","1","451","","869","869","869","BU34_16720.p01","CF57_27740.p01","CF61_28440.p01","CF58_02250.p01","CF59_02300.p01","CF60_02285.p01","ECONIH1_24695.p01","HW42_02375.p01","HW43_02425.p01","RR31_21980.p01"
"CF61_28815","","phosphonate ABC transporter ATP-binding protein","10","10","1","1","2912","1","398","","680","680","680","BU34_17095.p01","CF57_28115.p01","CF61_28815.p01","CF58_01890.p01","CF59_01940.p01","CF60_01925.p01","ECONIH1_24435.p01","HW42_02055.p01","HW43_02165.p01","RR31_21720.p01"
"CF60_01915","","ribose-phosphate pyrophosphokinase","10","10","1","1","2910","1","396","","557","557","557","BU34_17105.p01","CF57_28125.p01","CF61_28825.p01","CF58_01880.p01","CF59_01930.p01","CF60_01915.p01","ECONIH1_24425.p01","HW42_02045.p01","HW43_02155.p01","RR31_21710.p01"
"CF59_01910","","membrane protein","10","10","1","1","2907","1","393","","308","329","322","BU34_17125.p01","CF57_28145.p01","CF61_28845.p01","CF58_01860.p01","CF59_01910.p01","CF60_01895.p01","ECONIH1_24410.p01","HW42_02030.p01","HW43_02140.p01","RR31_21695.p01"
"CF58_01785","","hypothetical protein","10","10","1","1","2898","1","384","","275","275","275","BU34_17205.p01","CF57_28225.p01","CF61_28925.p01","CF58_01785.p01","CF59_01835.p01","CF60_01820.p01","ECONIH1_24365.p01","HW42_02015.p01","HW43_02095.p01","RR31_21650.p01"
"CF61_28940","","transporter","10","10","1","1","2895","1","381","","1466","1466","1466","BU34_17220.p01","CF57_28240.p01","CF61_28940.p01","CF58_01770.p01","CF59_01820.p01","CF60_01805.p01","ECONIH1_24350.p01","HW42_02000.p01","HW43_02080.p01","RR31_21635.p01"
"torD","","chaperone protein TorD","10","10","1","1","4435","1","1921","","599","599","599","BU34_01475.p01","CF57_17880.p01","CF61_18605.p01","CF58_10710.p01","CF59_10755.p01","CF60_10895.p01","ECONIH1_06225.p01","HW42_09260.p01","HW43_08710.p01","RR31_05415.p01"
"HW42_01900","","membrane protein","10","10","1","1","2872","1","358","","1586","1586","1586","BU34_17375.p01","CF57_28395.p01","CF61_29095.p01","CF58_01635.p01","CF59_01685.p01","CF60_01670.p01","ECONIH1_24255.p01","HW42_01900.p01","HW43_01980.p01","RR31_21535.p01"
"HW43_01940","","aromatic amino acid aminotransferase","10","10","1","1","2865","1","351","","1193","1193","1193","BU34_17440.p01","CF57_28460.p01","CF61_29160.p01","CF58_01575.p01","CF59_01625.p01","CF60_01610.p01","ECONIH1_24215.p01","HW42_01860.p01","HW43_01940.p01","RR31_21495.p01"
"CF57_28490","","tRNA-dihydrouridine synthase A","10","10","1","1","2860","1","346","","992","1037","1023","BU34_17470.p01","CF57_28490.p01","CF61_29190.p01","CF58_01545.p01","CF59_01595.p01","CF60_01580.p01","ECONIH1_24190.p01","HW42_01825.p01","HW43_01915.p01","RR31_21470.p01"
"CF58_01370","","hypothetical protein","10","10","1","1","2837","1","323","","638","638","638","BU34_17650.p01","CF57_28670.p01","CF61_29370.p01","CF58_01370.p01","CF59_01420.p01","CF60_01405.p01","ECONIH1_23805.p01","HW42_01695.p01","HW43_01790.p01","RR31_21080.p01"
"HW42_01550","","membrane protein","10","10","1","1","2814","1","300","","635","695","653","BU34_17845.p01","CF57_28870.p01","CF61_29565.p01","CF58_01130.p01","CF59_01155.p01","CF60_01155.p01","ECONIH1_23535.p01","HW42_01550.p01","HW43_01650.p01","RR31_20950.p01"
"BU34_17895","","thiamine biosynthesis protein ThiS","10","10","1","1","2804","1","290","","200","200","200","BU34_17895.p01","CF57_28920.p01","CF61_29615.p01","CF58_01080.p01","CF59_01105.p01","CF60_01105.p01","ECONIH1_23485.p01","HW42_01500.p01","HW43_01600.p01","RR31_20900.p01"
"HW43_05120","","attaching and effacing protein","10","10","1","1","3706","1","1192","","1337","4256","3961","BU34_06335.p01","CF57_22755.p01","CF61_23440.p01","CF58_05865.p01","CF59_05915.p01","CF60_05905.p01","ECONIH1_01790.p01","HW42_05205.p01","HW43_05120.p01","RR31_01880.p01"
"CF61_29620","","thiazole synthase","10","10","1","1","2803","1","289","","770","770","770","BU34_17900.p01","CF57_28925.p01","CF61_29620.p01","CF58_01075.p01","CF59_01100.p01","CF60_01100.p01","ECONIH1_23480.p01","HW42_01495.p01","HW43_01595.p01","RR31_20895.p01"
"CF59_00935","","hypothetical protein","10","10","1","1","2781","1","267","","359","371","362","BU34_18075.p01","CF57_29095.p01","CF61_29790.p01","CF58_00925.p01","CF59_00935.p01","CF60_00930.p01","ECONIH1_23350.p01","HW42_01365.p01","HW43_01470.p01","RR31_20760.p01"
"CF59_00930","","transcriptional regulator","10","10","1","1","2780","1","266","","647","704","686","BU34_18080.p01","CF57_29100.p01","CF61_29795.p01","CF58_00920.p01","CF59_00930.p01","CF60_00925.p01","ECONIH1_23345.p01","HW42_01360.p01","HW43_01465.p01","RR31_20755.p01"
"CF59_00870","","AraC family transcriptional regulator","10","10","1","1","2770","1","256","","851","857","852","BU34_18155.p01","CF57_29175.p01","CF61_29870.p01","CF58_00860.p01","CF59_00870.p01","CF60_00865.p01","ECONIH1_23290.p01","HW42_01305.p01","HW43_01410.p01","RR31_20705.p01"
"BU34_18225","","permease","10","10","1","1","2758","1","244","","893","905","903","BU34_18225.p01","CF57_29245.p01","CF61_29940.p01","CF58_00805.p01","CF59_00815.p01","CF60_00810.p01","ECONIH1_23240.p01","HW42_01255.p01","HW43_01360.p01","RR31_20650.p01"
"CF61_30205","","6-N-hydroxylaminopurine resistance protein","10","10","1","1","2720","1","206","","674","674","674","BU34_18490.p01","CF57_29510.p01","CF61_30205.p01","CF58_00435.p01","CF59_00450.p01","CF60_00450.p01","ECONIH1_23030.p01","HW42_01090.p01","HW43_01175.p01","RR31_20485.p01"
"CF60_00385","","rhamnulose-1-phosphate aldolase","10","10","1","1","2711","1","197","","824","824","824","BU34_18570.p01","CF57_29590.p01","CF61_30285.p01","CF58_00370.p01","CF59_00385.p01","CF60_00385.p01","ECONIH1_22980.p01","HW42_01040.p01","HW43_01125.p01","RR31_20435.p01"
"HW43_01120","","L-rhamnose mutarotase","10","10","1","1","2710","1","196","","314","314","314","BU34_18575.p01","CF57_29595.p01","CF61_30290.p01","CF58_00365.p01","CF59_00380.p01","CF60_00380.p01","ECONIH1_22975.p01","HW42_01035.p01","HW43_01120.p01","RR31_20430.p01"
"HW42_01020","","peptidase","10","10","1","1","2706","1","192","","1070","1070","1070","BU34_18600.p01","CF57_29620.p01","CF61_30315.p01","CF58_00340.p01","CF59_00355.p01","CF60_00355.p01","ECONIH1_22955.p01","HW42_01020.p01","HW43_01105.p01","RR31_20415.p01"
"ECONIH1_22720","","hypothetical protein","10","10","1","1","2668","1","154","","1430","1430","1430","BU34_18875.p01","CF57_29895.p01","CF61_30590.p01","CF58_00050.p01","CF59_00065.p01","CF60_00075.p01","ECONIH1_22720.p01","HW42_00795.p01","HW43_00900.p01","RR31_20210.p01"
"ECONIH1_22695","","molybdopterin-guanine dinucleotide biosynthesis protein B","10","10","1","1","2663","1","149","","527","527","527","BU34_18905.p01","CF57_29925.p01","CF61_30620.p01","CF58_31120.p01","CF59_00035.p01","CF60_00045.p01","ECONIH1_22695.p01","HW42_00770.p01","HW43_00875.p01","RR31_20185.p01"
"CF57_11080","","membrane protein","10","10","1","1","1760","1","3792","","1583","1583","1583","BU34_18975.p01","CF57_11080.p01","CF61_11795.p01","CF58_18375.p01","CF59_18320.p01","CF60_18085.p01","ECONIH1_12170.p01","HW42_14920.p01","HW43_14245.p01","RR31_11115.p01"
"BU34_19045","","hypothetical protein","10","10","1","1","1751","1","3783","","659","659","659","BU34_19045.p01","CF57_11010.p01","CF61_11725.p01","CF58_18440.p01","CF59_18385.p01","CF60_18170.p01","ECONIH1_12230.p01","HW42_14965.p01","HW43_14290.p01","RR31_11175.p01"
